premise	hypo	label
Los robando de crema conceptualmente tienen dos dimensiones básicas : producto y geografía .	El producto y la geografía son los que hacen que la crema funcione .	neutral
Usted sabe durante la temporada y supongo que a su nivel uh los pierde al siguiente nivel si si deciden recordar al equipo de los padres los bravos deciden llamar para recordar a un tipo del triple a y luego un hombre doble se sube a reemplazar y un solo hombre sube para reemplazar .	Pierdes las cosas al siguiente nivel si la gente recuerda .	entailment
Uno de nuestros números llevará a cabo sus instrucciones minuciosamente .	Un miembro de mi equipo ejecutará sus órdenes con una inmensa precisión .	entailment
Cómo lo sabes ? Todo esto es su información de nuevo .	Esta información les pertenece .	entailment
Si te digo lo que si vas a precio algunos de esos zapatos de tenis puedo ver por qué ahora sabes que se están subiendo en el rango de dólares	Las zapatillas de tenis tienen una gama de precios .	neutral
Mi Walkman se rompió así que estoy molesto ahora solo tengo que girar el estéreo muy alto	Me molesta que mi walkman se haya roto y ahora tengo que girar el estéreo muy alto .	entailment
Pero algunos mosaicos cristianos sobreviven por encima del ábside es la virgen con el niño Jesús , con el arcángel Gabriel a la derecha ( su compañero Michael , a la izquierda , ha desaparecido salvo por unas pocas plumas de sus alas ) .	La mayoría de los mosaicos cristianos fueron destruidos por los musulmanes .	neutral
( lectura para la toma de slate en los hallazgos de Jackson . )	Slate tenía una opinión sobre los hallazgos de Jackson .	entailment
Gays y lesbianas .	Heterosexuales .	contradictory
Al final de la rue des francos-Bourgeois es lo que muchos consideran la plaza residencial más hermosa de la ciudad , el place des vosges , con sus fachadas de piedra y ladrillo rojo .	Place des vosges está construido completamente de mármol gris .	contradictory
Me a través de un conjunto de puertas de cabina , y caí al suelo	Me caí por las puertas y me caí .	entailment
Diversión para adultos y niños .	Diversión sólo para niños .	contradictory
No es que las preguntas que pidieron no fueran interesantes o legítimas ( aunque la mayoría cayó bajo la categoría de ya preguntado y respondido ) .	Todas las preguntas fueron interesantes según un grupo de enfoque consultado sobre el tema .	neutral
