premise	hypo	label
Konseptual krem skimming ikkita asosiy o'lchamga ega: mahsulot va geografiya.	Mahsulot va jo'g'rofiya - bu kremni skimming ishi.	neutral
Siz mavsumda bilasiz va men sizning darajangizda tasavvur qilayapsizmi, agar siz ota-onangizni Bravesning uchta A dan birini chaqirishga qaror qilsalar, keyingi bosqichga tushib qolasiz, uni o'rniga qo'yib yuboradi va uni o'rniga bitta odam keladi	Odamlar eslashsa, quyidagi narsalarni yo'qotasiz.	entailment
Bizning raqamlarimizdan biri sizning yo'riqnomangizni bevosita amalga oshiradi.	Jamoam a'zosim buyurtmalaringizni juda aniqlik bilan bajaradi.	entailment
Qayerdan bilasiz ? Bularning barchasi yana ularning axborotidir.	Ushbu ma'lumot ularga tegishli.	entailment
Ha, senga aytaman, nima bo'lsa ham, bu tennis poyafzalidan bahoga chiqsangiz, nima uchun endi bilasizmi, ular yuz dollarlik turda turishadi	Tennis poyafzallari bir qator narxlarga ega.	neutral
Mening yurish-turishim sindirdi, shuning uchun men endi xafa bo'ldim, faqat stereoyni haqiqiy baland ovoz bilan aylantirish kerak	Walkman'ın kırıldığını va endi stereo'yu, albatta, baland ovoz bilan o'girib ketganim uchun bezovta qilaman.	entailment
Biroq, bir necha xristian mozaikasi apsisdan yuqori bo'lib, chaqaloq Iso bilan Bokira, o'ng tomonga Archangel Gabriel (uning o'rtog'i Maykl, chap tomonida yo'qolgan, qanotidan bir nechta tuklar yo'qolgan) yo'qolgan.	Xristian mozaikasining aksariyati musulmonlar tomonidan yo'q qilingan.	neutral
(Slate'in Jekson topilmalaridan olish uchun o'qing.)	Slate, Jeksonning ma'ruza haqida fikr bildirdi.	entailment
Geylar va lesbiyanlar.	Heterosexuallar.	contradictory
Rue des Francs-Burjua oxirida, shaharning eng chiroyli turar-joy maydoni, Pleys des Vosges, tosh va qizil g'ishtli jabhada bo'lganlari ko'pchilik hisoblanadi.	Place des Vosges butunlay kulrang marmar bilan qurilgan.	contradictory
Ichki eshiklar eshigini bosib, erga tushib qoldim-	Men eshiklar orasidan yugurib tushdim.	entailment
Kattalar va bolalar uchun qiziqarli.	Faqat bolalar uchun kulgili.	contradictory
Bu savollarga bergan savollar qiziqarli yoki qonuniy emas (garchi ko'plari allaqachon so'ralgan va javob berilgan toifaga kirgan bo'lsa).	Barcha savollar ushbu mavzu bo'yicha maslahatlashadigan fokus-guruhga ko'ra qiziqarli edi.	neutral
Thebes 12-sulolaga qadar kuchga kirdi, birinchi shohi Amenemhet 1980 yilda 1951-yil. Memphis yaqinidagi sarmoyani tashkil qildi.	Memfis yaqinidagi poytaxt aholisi keyingi poytaxt uchun tashlab ketilishidan yarim asr oldin davom etgan.	neutral
Men sizning tashvishlaringiz haqida gapirishni istamaysiz, ammo agar men bo'lar edim, ushbu $ 1 qiymatining yaqin muddatli ta'siridan ko'proq tashvishlanardim.	Sizning muammolaringiz bo'yicha yaqinroq muddatli ta'sirlardan ko'ra ko'proq tashvishlanaman.	contradictory
Ma'lumotlar sintezidagi muammolar.	Ma'lumotlar sintezidagi muammolar.	entailment
Buni televizorda ham ko'rasiz	Buni televizorda ham ko'rishingiz mumkin.	entailment
Vrenna bilan men ikkalamiz ham jang qildik va u bizni deyarli olib ketdi.	Vrenna ham, men ham unga qarshi jang qilmagan edim.	contradictory
Ushbu tahlil, bu ikki ishning prognozini PMni surunkali bronxit bilan bog'lab turgan C-R funktsiyasini ishlab chiqishga qaratdi.	Tahlil shuni ko'rsatadiki, PM va bronxit o'rtasida hech qanday bog'liqlik yo'q.	contradictory
U orqasiga o'girilib, Vrennada kulib qo'ydi.	U asta-sekin onasining orqasida yurib borayotgan Vrennaga tabassum qildi.	neutral
O'tgan 5 yil mobaynida agentliklar tomonidan keng qo'llaniladigan amaliyotlarni aniqlashga harakat qildik.	Oxirgi 5 yilda agentliklar tomonidan keng qo'llaniladigan amaliyotlarni aniqlashni istaymiz	entailment
Boshqa erkaklar shug'ullanishdi.	Qolgan kishilar atrofga aralashib qoldilar.	entailment
Davlatlar, milliy parklar va cho'l hududlarida tabiiy sharoitlarga qaytishni konkret majburiyatli maqsadga yo'naltirish bo'yicha davlat dasturlarini amalga oshirish rejalarida oqilona natijalarga erishishlari kerak.	Bu erda hech qanday yaxshilanish bo'lmasligi kerak emas.	contradictory
yaxshi, bu juda qiziq	Bu juda qiziq bo'ldi.	entailment
U sekin-asta bunkozaga qaytib ketdi.	U asta sekin to'shakka qaytib keldi.	entailment
va bu olti narsa bir narsa davlat deb o'ylayman va uh qolgan pirojnoe boshqa joyga ketadi, lekin biz davlatning ma'lum bir qismida bo'lgan juda yaxshi yopiq, chunki u, mahalliy soliqqa tortish jarayoni davom etar ekan, shuncha ko'p narsani qo'lga kiritamiz	Mahalliy soliqlar qaerga ketishini aniq bilmayman.	neutral
Ular 17-asrning boshlarida rasmiy repopulyatsiya sxemasining bir qismi sifatida kelgan bu mallorlik ajdodlari tomonidan hozirgi qishloq aholisi uchun berilgan sirli retseptdan qilingan.	Mayorkan ota-bobolaridan olingan retsept har kimga ma'lum.	contradictory
Ha, sen talabalik huquqisan	Yaxshi, bir mexanik talaba-chi?	neutral
Men, albatta, ularning Nyu-Yorkda bolani suiiste'mol qilish va bolalarni suiiste'mol qilishni to'xtatish haqidagi katta kampaniyani boshlashi kerak bo'lgan bir narsa eshitdim va bu erda katta mamlakat bo'ylab kampaniya kabi bo'lishi kerak deb o'ylayman. umid qilamanki, bu tushib ketadi va haqiqatan ham borligini bilmayman	Hech kim bolani suiiste'mol qilish kampaniyasini uyushtirmaydi.	contradictory
Pochta xizmati etkazib berish chastotasini kamaytirish edi.	Pochta xizmati kamroq etkazib berishi mumkin edi.	entailment
Iqtisodiyotning boshqa bir yo'nalishida esa, kamroq fermer xo'jaliklarida kamroq, ko'proq ozuqa beruvchi yerlar mavjudligi sababli qoramolni qisman oshirib yuborish mumkinligi aniqlandi va buning oqibatida Lakeland fermalari kam daromad keltirdi.	Iqtisodiyotda yana bir siljish yanada oziqlantiruvchi edi.	entailment
Qoidada, EPK tomonidan depozitlarni boshqarishda samarali bo'lgan detarjan hissa moddalari va emissiya nazoratining maqsadlari amalga oshirilishini aniqlashga imkon beradigan ma'lumot yig'ish talablari mavjud.	Qoida, EPA'nın emissiya nazorat maqsadlarini amalga oshirishga yordam beradigan ma'lumotlarni to'plash talablariga ega.	entailment
Deyarli har bir tepalik shimoli-g'arbiy qismida joylashgan bo'lib, u erda bir tog'li qal'a bor; Limandan kirish eshigini to'rtta xarobali qal'a egallamaydi; va yana ikkitasi hali ham yaxshi ta'mirlangan. Atalaya va Galeras qal'alari ispan askarlari uchun muhim ahamiyatga ega bo'lgan dengiz cephaneliklerini himoya qiladi.	Atalaya va Galeras qal'alari yo'q.	contradictory
U erda ularmi?	U erda bo'lishlari kerak edi?	neutral
Felicia'nın Journey, markaziy, bir yosh Irlandalı qiz Felicia'nın orqasida, uning tug'ilmagan chaqalog'ining otasini topish uchun umid bilan harakat qilish uchun dengizga Angliyaga ketayotgan; yigit, o'rta yoshli ovqatlanish menejeri, Xidich ismli yosh yigitning kichkina ayolga berkitib qo'yganini tushunib etgach, lassaga qiziqish uyg'otadi.	Ayol ayolning qaerda ekanligi haqida o'ylamasdi.	contradictory
