premise	hypo	label
ارضیات کی ناپیدی اور جغرافیہ نے دو بنیادی فسل تصاویر اور جغرافیہ کا اشتراک کیا ہے ۔	مصنوعہ اور جغرافیہ	neutral
آپ کو معلوم ہے کہ آپ کے طور پر آپ کی سطح پر کم از کم سیکنڈ تک رسائی حاصل کرنے کے لیے آپ کو اس وقت تک رسائی حاصل کرنے کی ضرورت ہے ۔ اس کے بعد ان کی جگہ پر کوئی الزام نہیں ہے	آپ کو مندرجہ ذیل معلومات میں سے کسی کو کھو دیا گیا ہے .	entailment
ہم میں سے ایک	میری ٹیم کا ایک رکن آپ کے احکامات کی بنیاد پر آپ کا حکم دے گا ۔	entailment
تمہیں جگہ کا کیسے پتہ چلا یہ ان کی معلومات ہے ۔	یہ معلومات مزید دستیاب نہیں ہے ۔ براہ کرم دوبارہ کوشش کریں	entailment
جی ہاں ، میں آپ کو بتا سکتا ہوں کہ اگر آپ کے پاس کوئی مسئلہ ہے تو میں یہ دیکھ سکتا ہوں کہ وہ آپ کو کیا کر رہے ہیں	ٹینس کے کیک کی تراکیب	neutral
میری الاطالیہ سے ، میں نے حال ہی میں آپ کے ذہن میں ڈال دیا ہے .	میں اس کے بارے میں پریشان ہو رہا ہوں اور اب میں ، پاس ورڈ تبدیل کرنے کی ضرورت ہے .	entailment
مگر چند عیسائی مبلغین نے اس صورت حال سے محروم ہونے کے لیے ایک تہائی عیسوی میں عیسائی مبلغین کے نام پیش کئے گئے اور اس کے علاوہ کسی اور کی طرف سے فرز پر قبضہ کر لیا ۔	ان میں سے زیادہ تر عیسائی مسلمانوں کو تباہ کر چکے تھے ۔	neutral
( read for slate ' s take on jackson ' s findings . آپ کے اکاؤنٹ میں لاگ ان کرنے	اس کے بارے میں بات کرنے والے لوگوں نے کہا کہ	entailment
لڑکے اور لیسبین	سونے کے .	contradictory
ء کے اواخر میں ہونے والی بورژوا کے خاتمے کے بعد ، اس شہر کے سب سے زیادہ خوبصورت رہائشی علاقہ ہے ، جس کی وجہ سے اس کے پتھر اور سرخ ووژ کے ساتھ .	مقام کے لحاظ سے ووسگس سنگ میل کا استعمال کر رہا ہے ۔	contradictory
میں نے میز کے دروازے سے نکالا ہے اور زمین کے اندر پھیل گئی ہے ۔	میں دروازے کے دروازے میں رہتا ہوں ۔	entailment
بالغان اور بچے	بچوں کے لیے مزے دار	contradictory
یہ نہیں ہے کہ ان سوالات کا جواب نہیں دیا گیا تھا اور نہ ہی ان کے بارے میں کہا گیا تھا ۔	موضوع کے لحاظ سے تمام سوالات کے بارے میں دلچسپ سوالات تھے ۔	neutral
12 ویں سے 12 ویں صدی کے اختتام تک سلطنت 1951 ویں صدی کے اوائل میں واقع ہوئی جب پہلا بادشاہ نے 1980 ء کے اوائل میں قبضہ کر لیا ۔	سولہویں صدی کے قریب چودھویں صدی قبل مسیح سے لے کر بارہویں صدی قبل مسیح تک رہی ۔	neutral
مجھے اس بات کا مطلب نہیں ہے کہ آپ اپنے خدشات کے بارے میں بات کر رہے ہیں ، لیکن اگر میں آپ کو اپنے خدشات کے بارے میں فکر مند ہوں تو میں اس 1 . ڈالر کے بارے میں فکر مند	میں اس کے بارے میں فکر مند ہوں	contradictory
facebook پر مسائل	مشکلات میں مسائل	entailment
آپ کو نظر انداز کیا گیا ہے !	آپ نے ان کی ٹائم لائن پر لکھا ہے ۔	entailment
میں نے اس سے لڑے اور میں نے اس سے جہاد کیا .	نہ تو اس کا مال ہی اس کے کچھ کام آیا اور نہ وہ جو	contradictory
اس تجزیہ کار نے ان دو ممالک میں آبادگاران کا تجزیہ کیا ہے جو کہ ء سے تعلق رکھتے ہیں ۔	عمومی طور پر یہ تجزیہ کیا گیا ہے کہ کسی اور کی جانب سے کوئی دوسرا سفر نہیں کیا جا	contradictory
پھر پیٹھ پھیری اور تکبر کیا ۔	اس نے آپ کی والدہ کے ساتھ مل کر ان کے پیچھے دوڑ رہا تھا ۔	neutral
ہم عمومی طور پر 5 سال کے اندر کی بات کا مطالبہ کرتے ہیں ۔	ہم نے گزشتہ 5 سالوں میں ان عملیات کو استعمال کیا ہے ۔	entailment
دوسرے لوگوں کے ساتھ .	دوسرے لوگوں کے ساتھ مصروف رہنے والے تھے ۔	entailment
ریاستوں کو ان کی ریاست کے لحاظ سے مزید ترقی حاصل کرنے کی منصوبہ بندی کرنا ضروری ہے ۔	اس میں کسی طرح کی کمی نہیں ہے .	contradictory
یہ بہت دلچسپ ہے	یہ بہت دلچسپ بات ہے ۔	entailment
انہوں نے کہا کہ وہ کہاں ہے ۔	انہوں نے کہا کہ وہ تو لے کر آیا ہے .	entailment
اور یہ ایک ایسی بات ہے جس کا خیال ہے کہ اس دور میں مقامی ٹیکس کی وصولی شروع ہوئی ۔	مجھے معلوم نہیں ہے کہ مقامی ٹیکس کی جگہ کہاں ہے .	neutral
وہ ایک خفیہ وصول کنندہ کے ساتھ مل گیا ہے جو کہ ان کے آباؤ اجداد نے اپنے باپ دادا کو پایا تھا جو کہ 17 ویں صدی کے اوائل میں ادھر آ گیا تھا ۔	ان کے باپ دادا سے پہلے گزر چکی ہے ۔	contradictory
جی ہاں ، آپ کو ایک طالب علم ہیں	آپ کو ایک درست طالب علم ہیں ؟	neutral
میں نے اس بات کو سن لیا ہے کہ ان کے بارے میں ایک عظیم مہم شروع کرنے کے بارے میں کیا گیا ہے اور ہم نے اپنے اکاؤنٹ کی شناخت کرنے کے لئے ایک بڑا ملک بنا دیا ہے اور اس طرح کی ضرورت ہے کہ یہ ایک عظیم ملک ہے ۔ یہ آپ کی پروفائل پر ظاہر ہو جائے گا ۔	اس کا کہنا ہے کہ کوئی بچے نہیں مل رہا ہے ۔	contradictory
ڈاک کی خدمات	پوسٹل کوڈ غلط ہے ۔ براہ کرم دوبارہ کوشش کریں ۔	entailment
اور اس کی معیشت میں تبدیلی کی وجہ یہ تھی کہ فارموں کی آمدنی کا ایک حصہ ملتا ہے جس میں فارموں کی کمی اور زیادہ تر فارموں کی کمی ہوتی ہے اور اسی وجہ سے فارموں کی آمدنی کم ہوتی ہے ۔	معیشت میں ایک اور تبدیلی کی وجہ سے معیشت کو مزید ترجیح دی گئی ۔	entailment
قاعدہ کی معلومات میں ترمیم کی گئی ہے ، جو کہ موثر طور پر سنسر کی گئی ہے ، موثر طور پر سنسر کی ضرورت ہے ، جو کہ سنسر کی وجہ سے سنسر کی گئی ہے ۔	آپ کے فراہم کردہ اصول کی تجدید نہیں کی جا سکتی ہے ۔ براہ کرم بعد میں دوبارہ کوشش کریں ۔	entailment
تقریباً ہر ہل ، شمال مشرق میں ایک قَعلوں کے اندر موجود ہے ، پاکستان کی طرف سے چار تباہ ہو گیا ہے ، اور دو مزید افراد ، جو کہ سپین کی حفاظت کے لئے تیار ہے ، اور قَعلوں کے اندر قَعلوں کے اندر موجود ہیں ۔ فوجی ۔	کوئی محلات وقوع نہیں ہیں ۔	contradictory
کیا وہ وہاں تھے ؟	کیا وہ اس میں رہتے ہیں ؟	neutral
اچ-اچ-ایک جوان کی جانب سے ایک نوجوان لڑکی ، جو کہ برطانیہ کی جانب سے برطانیہ کی جانب سے ہجرت کی گئی ہے . اس صورت میں کہ جب یہ واضح ہو جاتا ہے تو آپ اس کے جوان ہو سکتے ہیں کہ ان کے نوجوان لڑکے نے ان کی پیروی کی ہے ۔	عورت کو نہیں معلوم تھا کہ وہ کس طرح عرصے سے گزرا ہے ۔	contradictory
اشتمالی ، والٹیئر ، ہیوگو اور کرائپٹ ، ہیوگو ، قتل عام اور يافت شدہ کے سربراہ ، قتل شدہ اور يافت کردہ وکرز پارٹی کا موجد ہے ۔	والٹیئر اور ہیوگو ، ہیوگو ، ہیوگو اور والٹیئر کے سربراہ ، قتل عام اور يافت شدہ فوج کے سربراہ تھے ۔	entailment
اس کے ایک جوڑے میں سے ایک ہے . میں ان کے نام کو بھول رہا ہوں .	میں اپنے اکاؤنٹ کو محفوظ نہیں کر سکتا	entailment
جناب میں نے کہا کہ میں نے کہا تھا کہ اسے اور اس کے دونوں ہاتھ میں پکڑ لیا گیا ۔	اتنے میں واپس آ گیا تھا اور میں نے کہا تھا کہ میں اس کے بارے میں سوچا گیا تھا .	contradictory
لفظ کا مطلب یہ ہے کہ قدیم مصر میں تجارت یا مارکیٹ کی صنعت کا مطلب ہے ۔	بدشوں نے اس وقت کچھ تبدیل نہیں کیا ۔	contradictory
ٹھیک ہے کہ مارکیٹ کی تراکیب	مارکیٹ کی اس میں کوئی کمی نہیں ہے ۔	contradictory
