premise	hypo	label
Conceptueel skimming heeft twee basisafmetingen: product en geografie.	Product en aardrijkskunde maken creme skimming.	neutral
weet je tijdens het seizoen en ik vermoed dat je op je niveau ze verliest naar het volgende niveau. Als ze besluiten om het ouderteam terug te roepen, besluiten de Braves om een jongen uit triple A terug te roepen. Dan gaat een dubbele A-man naar vervang hem en een enkele man gaat naar boven om hem te vervangen	Je verliest de dingen naar het volgende niveau als de mensen zich herinneren.	entailment
Een van onze nummers zal uw instructies minutieus uitvoeren.	Een lid van mijn team voert uw bestellingen met grote precisie uit.	entailment
Hoe weet je dat ? Dit alles is hun informatie opnieuw.	Deze informatie is van hen.	entailment
ja ik vertel je alhoewel als je een paar van die tennisschoenen gaat prijzen, kan ik zien waarom je nu weet dat ze opstaan in het bereik van honderd dollar	De tennisschoenen hebben een reeks prijzen.	neutral
mijn walkman brak dus ik ben van streek nu moet ik gewoon de stereo echt luid zetten	Ik ben van streek dat mijn walkman kapot is gegaan en nu moet ik de stereo erg luid zetten.	entailment
Maar een paar christelijke mozaïeken overleven boven de apsis is de Maagd met het kind Jezus, met de aartsengel Gabriël naar rechts (zijn metgezel Michael, aan de linkerkant, is verdwenen behalve een paar veren uit zijn vleugels).	De meeste van de christelijke mozaïeken werden vernietigd door moslims.	neutral
(Lees voor Slate neem de bevindingen van Jackson over.)	Slate had een mening over de bevindingen van Jackson.	entailment
Homo's en lesbiennes.	Heteroseksuelen.	contradictory
Aan het einde van de Rue des Francs-Bourgeois is wat velen beschouwen als het mooiste woonplein van de stad, het Place des Vosges, met zijn stenen en rode bakstenen gevels.	Place des Vosges is volledig opgetrokken in grijs marmer.	contradictory
Ik stormde door een stel kajuitendeuren en viel op de grond -	Ik stormde door de deuren en viel naar beneden.	entailment
Leuk voor volwassenen en kinderen.	Plezier voor alleen kinderen.	contradictory
Niet dat de vragen die ze vroegen niet interessant of legitiem waren (hoewel de meeste wel onder de categorie vroegen die al werd gesteld en beantwoord).	Alle vragen waren interessant volgens een focusgroep die over het onderwerp werd geraadpleegd.	neutral
Thebes hield macht aan tot de 12de Dynastie, toen zijn eerste koning, Amenemhet Iwho regeerde tussen 1980 1951 V.C. vestigde een hoofdstad dichtbij Memphis.	De hoofdstad bij Memphis duurde slechts een halve eeuw voordat de inwoners het in de steek gelaten hadden voor de volgende hoofdstad.	neutral
Het is niet mijn bedoeling om je zorgen te uiten, maar als ik jou was, maak ik me misschien meer zorgen over de kortetermijnrente-implicaties van deze $ 1.	Ik maak me meer zorgen over uw problemen dan de implicaties op korte termijn.	contradictory
Issues in Data Synthesis.	Problemen met gegevenssynthese.	entailment
nou dat zie je ook op televisie	Dat zie je ook op televisie.	entailment
Vrenna en ik hebben allebei tegen hem gevochten en hij heeft ons bijna meegenomen.	Noch Vrenna noch ik hebben ooit tegen hem gevochten.	contradictory
Deze analyse verzamelde schattingen van deze twee onderzoeken om een C-R-functie te ontwikkelen die PM koppelde aan chronische bronchitis.	De analyse bewijst dat er geen verband bestaat tussen PM en bronchitis.	contradictory
Hij draaide zich om en glimlachte naar Vrenna.	Hij glimlachte naar Vrenna die langzaam achter hem liep met haar moeder.	neutral
We hebben geprobeerd om praktijken te identificeren die in de afgelopen 5 jaar vaak door de agentschappen werden geïmplementeerd.	We willen praktijken identificeren die in de afgelopen 5 jaar vaak door bureaus worden gebruikt	entailment
De andere mannen schuifelden.	De andere mannen werden rondgeschud.	entailment
