premise	hypo	label
Konceptualiai kremo apipjaustymas turi du pagrindinius matmenis - produktą ir geografiją.	Produktas ir geografija yra tai, kas atlieka kremą.	neutral
tu žinai per sezoną ir manau, kad jūsų lygyje jūs prarasite juos į kitą lygį, jei, jei jie nuspręstų priminti tėvų komandą, Braves nusprendžia prisiminti vaikiną iš trigubo, o tada dvigubas vaikinas eina iki pakeiskite jį ir vienas vaikinas eina į jį pakeisti	Jei žmonės prisimena, jūs prarasite šiuos dalykus į šį lygį.	entailment
Vienas iš mūsų numerių atliks jūsų nurodymus.	Mano komandos narys vykdys jūsų užsakymus didžiuliu tikslumu.	entailment
Kaip žinote? Visa tai yra jų informacija.	Ši informacija priklauso jiems.	entailment
taip, aš jums pasakysiu, ką nors, jei einate, kai kuriuos teniso batelius, galiu pamatyti, kodėl dabar jūs žinote, kad jie atsistoja šimtame dolerio diapazone	Teniso bateliai turi įvairių kainų.	neutral
mano Walkman sumušė, todėl aš nusiminusi dabar aš tiesiog turiu paversti stereo garsą	Aš nusiminusi, kad mano „Walkman“ sumušė ir dabar aš turiu įjungti stereo garsą.	entailment
Tačiau keletas krikščionių mozaikų išgyvena virš Mergelės su kūdikiu Jėzumi, su arkangelu Gabrielu į dešinę (jo draugas Mykolas, kairėje, išnyko, išskyrus kelias spalvas iš sparnų).	Daugumą krikščionių mozaikų musulmonai sunaikino.	neutral
(Perskaitykite, kad Slate'as imasi Jackson išvadų.)	Šiferis turėjo nuomonę apie Džeksono išvadas.	entailment
Gėjų ir lesbiečių.	Heteroseksualai.	contradictory
„Rue des Francs-Bourgeois“ pabaigoje daugelis mano, kad tai yra gražiausia miesto gyvenamoji aikštė, Place des Vosges, su akmens ir raudonų plytų fasadais.	„Place des Vosges“ yra pagamintas iš pilkos marmuro.	contradictory
Aš sprogau per kabinos durų rinkinį ir nukrito iki žemės	Aš sprogau pro duris ir nukrito.	entailment
Pramogos suaugusiems ir vaikams.	Pramogos tik vaikams.	contradictory
Tai ne tai, kad klausimai, kuriuos jie paprašė, nebuvo įdomūs ar teisėti (nors dauguma jų pateko į jau prašomų ir atsakytų kategorijų kategorijas).	Visi klausimai buvo įdomūs, atsižvelgiant į tikslinę grupę, su kuria buvo konsultuojamasi šiuo klausimu.	neutral
Thebesas laikė valdžią iki 12-osios dinastijos, kai pirmasis karalius Amenevetas Iwho karaliavo nuo 1980 m. įsteigė kapitalą netoli Memfio.	Sostinė netoli Memfio truko tik pusę šimtmečio, kol jos gyventojai atsisakė kito kapitalo.	neutral
Nenoriu kalbėti apie jūsų susirūpinimą, bet jei aš buvau tavęs, galėčiau būti labiau susirūpinęs dėl šio $ 1 artimiausio laikotarpio poveikio.	Man labiau rūpi jūsų problemos nei artimiausio laikotarpio palūkanų normos.	contradictory
Duomenų sintezės problemos.	Duomenų sintezės problemos.	entailment
jūs taip pat matote tai televizijoje	Tai galite pamatyti ir televizijoje.	entailment
Vrenna ir aš abu kovojome su juo ir jis beveik užėmė mus.	Nei Vrenna, nei aš niekada jo nekovojo.	contradictory
Ši analizė apėmė šių dviejų tyrimų sąmatas, siekiant sukurti C-R funkciją, jungiančią PM su lėtiniu bronchitu.	Analizė įrodo, kad nėra ryšio tarp PM ir bronchito.	contradictory
Jis pasuko ir nusišypsojo Vrenna.	Jis nusišypsojo Vrenna, kuris vaikščiojo lėtai už jo su motina.	neutral
Siekėme nustatyti praktiką, kurią agentūros per pastaruosius 5 metus bendrai įgyvendino.	Mes norime nustatyti agentūrų per pastaruosius 5 metus dažniausiai naudojamas praktikas	entailment
Kiti vyrai sumaišė.	Kiti vyrai buvo susimaišę.	entailment
Valstybės turi įrodyti, kad jos įgyvendina savo planus, siekdamos Kongreso įgalioto tikslo grįžti prie gamtos sąlygų nacionaliniuose parkuose ir dykumose.	Tai nebūtina, kad būtų pagerinta.	contradictory
gerai tai buvo labai įdomu	Tai buvo labai intriguojantis.	entailment
Jis pradėjo lėtai grįžti į bunkhouse.	Jis lėtai grįžo į bunkhouse.	entailment
ir tai yra gana truputį manau, kad šeši kažkas yra valstybė, o likęs pyragas yra kitur, bet mes esame tam tikroje valstybės dalyje, kuri yra gana gerai, kad tai būtų “ kaip mes gauname daug to, kiek tai susiję su vietiniais mokesčiais	Aš tiksliai nežinau, kur eina vietiniai mokesčiai.	neutral
Jie yra pagaminti iš slapto recepto, kurį šiuolaikiniams kaimo gyventojams perdavė Maljorkos protėviai, kurie čia atvyko XVII a. Pradžioje kaip oficialios populiacijos atkūrimo schemos dalis.	Iš Maljorkos protėvių perduotas receptas yra žinomas visiems.	contradictory
taip gerai, jūs esate studentas	Na, jūs esate mechanikos studentas?	neutral
iš tikrųjų aš girdėjau kažką, kad jų ketinimas pradėti didžiulę kampaniją Niujorke apie vaikų prievartą ir sustabdyti prievartą prieš vaikus, ir manoma, kad ji turėtų būti tokia, kaip ji turėtų būti panaši į didelę nacionalinę kampaniją ir žinote todėl tikiuosi, kad tai pakils ir tikrai padarys kažką, ką nežinau, kad ten yra teisinga	Gaila, kad niekas nerengia vaikų išnaudojimo kampanijos.	contradictory
Pašto tarnyba turėjo sumažinti pristatymo dažnumą.	Pašto paslauga gali būti teikiama rečiau.	entailment
Kita ekonomikos permaina buvo nustatyta, kad ėriukai gali būti ekonomiškai efektyvesni žemumų ūkiuose iš dalies dėl turtingesnės, maistingesnės ganymo žemės, todėl Lakeland ūkiai tapo mažiau pelningi.	Nustatyta, kad kitas ekonomikos pokytis yra maistingesnis.	entailment
Taisyklė apima informacijos rinkimo reikalavimus, kurie leis EPA nustatyti, ar naudojami ploviklių priedai, veiksmingai kontroliuojantys nuosėdas, ir kad būtų pasiekti išmetamųjų teršalų kontrolės tikslai.	Taisyklėje nustatyti duomenų rinkimo reikalavimai, kurie padeda EPA įgyvendinti savo išmetamųjų teršalų kontrolės tikslus.	entailment
Beveik kiekvienas kalnas yra į šiaurės rytus, kur yra maurų fortas; uosto priėjimą saugo ne mažiau kaip keturi sugadinti tvirtovės; dar du, vis dar geros būklės Atalaya ir Galeras pilys apsaugo priekinį arsenalą, būtiną Ispanijos kariuomenei.	Nėra pilių Atalaya ir Galeras.	contradictory
Ar jie ten buvo?	Ar jie turėjo būti ten?	neutral
Felicia kelionė vyksta už jos centrinės jaunos Airijos mergaitės Felicijos akių, kuri per Jūrą kerta jūrą į Angliją, tikėdamasi ieškoti savo negimusio vaiko tėvo; ir riebalų, vidutinio amžiaus maitinimo vadybininkas, Hiditchas, kuris tėvai domina tėvelį, kai tampa aišku, kad jos jaunuolis jai suteikė šlubą.	Moteris nerūpėjo, kur tas vyras buvo tol, kol jis buvo toli.	contradictory
Kripte yra sulaikytos Voltaire ir Rousseau, Hugo ir Zola liekanos, nužudytas socialistų lyderis Jeanas Jaurys ir Louis Braille, aklųjų abėcėlės išradėjas.	Kripte yra slepiami Voltaire ir Rousseau, Hugo ir Zola, nužudyti socialistų lyderiai Jeanas Jaurys ir Louis Braille.	entailment
ten yra pora, vadinama um oh, aš dabar užmiršsiu jo vardą dabar	Aš negaliu prisiminti jų vardo	entailment
Poirot, sušvelnėjau ir paleidžiau jį abiem rankomis, nuviliau jį į kambarį.	Poirot dabar grįžo, ir aš atsiprašau, kad jis perims tai, ką dabar nagrinėjau savo tyrimu.	contradictory
Žodis „aswan“ iš tikrųjų reiškia senovės egiptiečių prekybą ar rinką, reiškiančią jos svarbiausią veiklą.	Aswano reikšmė laikui bėgant nepasikeitė.	contradictory
gerai, ką rinka gali turėti ir	Rinkoje negali būti nė vieno.	contradictory
Ir kaip parodyti, kaip sparčiai besivystantys Japonijos valdovai, buvo pradėtos dvi baudžiamosios ekspedicijos prieš Korėją ir Kiniją XIX a.	Nauji Japonijos valdovai greitai pasivijo.	entailment
Kai patikos fondas 2016 m. Pradeda veikti grynaisiais pinigais, visa vyriausybė turi sugalvoti pinigus socialinio draudimo grynųjų pinigų deficitui finansuoti, sumažindama visus numatomus ne socialinės apsaugos perteklius, skolindamasi iš visuomenės, padidindama kitus mokesčius, arba mažinti kitas valdžios sektoriaus išlaidas.	Visuomenė paprastai norėtų, kad vyriausybė sumažintų savo išlaidas kitose srityse, kad galėtų finansuoti socialinę apsaugą.	neutral
Šios organizacijos investuoja laiką ir pastangas, kad suprastų jų procesus ir kaip šie procesai prisideda prie misijos pasiekimų.	Šios organizacijos investuoja daug laiko, kad suprastų, kaip kai kurie procesai gali prisidėti prie arti	entailment
ir jums malonu kalbėti visiems	Aš kasdien kalbu su jumis.	neutral
Jūs turite prieigą prie faktų.	Faktai yra prieinami jums.	entailment
Sukurkite aplinką Inžinerinė gamyba Gamyba (visos normos įrankiai) (1-asis gamybos įrankių rinkinys)	Tai pirmasis gamybos įrankių rinkinys gamybai.	entailment
Tol, kol turite savo namų ūkį, pamišimas apie savo artimo išlaidų įpročius yra labai panašus į savo gyvenamojo kambario kilimėlio spalvą.	Jūs turėtumėte jaudintis dėl savo artimo kilimo spalvos.	contradictory
taip, taip, žinoma, jie taip pat gali prisijungti prie jų, nes jie visada gali prisijungti prie karinės tarnybos, kurios, jų manymu, yra laikomos piliečiais	Jie negali prisijungti prie karinės tarnybos	contradictory
Ji nusišypsojo atgal.	Ji buvo tokia laiminga, kad negalėjo sustoti.	neutral
Pasak Sveikatos priežiūros finansavimo administracijos aktuaro tarnybos, apskaičiuota grynoji dabartinė papildomų išteklių vertė, reikalinga finansuoti HI pašalpas vien 75 metams, yra 4 JAV doleriai.	Grynoji dabartinių papildomų išteklių, skirtų finansuoti HI naudą, dabartinė vertė buvo 4 USD.	entailment
Taigi, kalbant apie teismines tarnybas Kongresas finansavo, nėra alternatyvaus kanalo, kuriuo būtų galima išreikšti advokatų kongreso siekį apriboti.	Tai vienintelis propagavimo kanalas, kurį Kongresas siekia apriboti.	entailment
Kaip tai išspręsti? „	Ar galime tai išspręsti?	entailment
tačiau per daug planuojama	Tai nereiškia daug planavimo.	contradictory
Nemaniau Monicos paminėti savo paskaitoje, bet pirmasis klausimas, kurį man buvo užduotas, buvo tai, kaip prezidentas Clinton galėjo atlikti savo darbą su visais trikdžiais, kuriuos sukėlė Monica Lewinsky reikalas.	Jie norėjo paskaityti paskaitą be jokių problemų.	neutral
Analizuodami pašto paslaugų sąskaitas nusidėvėjimui, degalams ir miesto pristatymo vežėjų techninei priežiūrai, mes įvertinome vidutines miesto pristatymo transporto priemonės išlaidas vienam maršrutui.	Vairavimo sąnaudų įverčius galima apskaičiuoti vidutiniškai.	neutral
