premise	hypo	label
Konceptuel creme skimming har to grundlæggende dimensioner - produkt og geografi.	Produkt og geografi er hvad der gør creme skimming arbejde.	neutral
du ved i løbet af sæsonen og jeg gætter på på dit niveau, uh du mister dem til næste niveau, hvis hvis de beslutter at huske forælder holdet beslutter Braves at ringe for at tilbagekalde en fyr fra triple A derefter en dobbelt En fyr går op til erstatte ham og en enkelt En fyr går op for at erstatte ham	Du mister tingene til det følgende niveau, hvis folket husker.	entailment
Et af vores nummer vil udføre dine anvisninger minutielt.	Et medlem af mit team vil udføre dine ordrer med stor præcision.	entailment
Hvordan ved du det ? Alt dette er deres information igen.	Disse oplysninger tilhører dem.	entailment
ja, jeg fortæller dig hvad, men hvis du går pris nogle af de tennis sko jeg kan se hvorfor nu ved du, at de står op i hundrede dollar	Tennisskoene har en række priser.	neutral
min walkman brød så jeg er ked af det nu, jeg skal bare slå stereo op rigtigt højt	Jeg er ked af, at min walkman brød og nu skal jeg slå stereoen op rigtigt højt.	entailment
Men et par kristne mosaikker overlever over apsen er jomfruen med spædbarnet Jesus, med Ærkeenglen Gabriel til højre (hans ledsager Michael til venstre har forsvundet, spar for et par fjer fra sine vinger).	De fleste af de kristne mosaikker blev ødelagt af muslimer.	neutral
(Læs for Slate 's tage på Jackson' s resultater.)	Skifer havde en mening om Jacksons resultater.	entailment
Homofile og lesbiske.	Heterosexuals.	contradictory
I slutningen af Rue des Francs-Bourgeois er det mange, der anses for at være byens smukkeste boligområde, Place des Vosges, med sine sten- og røde murstenfacader.	Place des Vosges er bygget helt af grå marmor.	contradictory
Jeg briste gennem et sæt kabine døre, og faldt til jorden-	Jeg briste gennem dørene og faldt ned.	entailment
Sjov for voksne og børn.	Sjov for kun børn.	contradictory
Det er ikke, at de spørgsmål, de stillede, ikke var interessante eller legitime (selvom de fleste henhørte under kategorien af allerede spurgte og besvarede).	Alle spørgsmålene var interessante ifølge en fokusgruppe, der blev hørt om emnet.	neutral
Thebes holdt på magten indtil det 12. Dynasty, da dens første konge, Amenemhet Iwho, regerede mellem 1980 1951 b.c. etableret en hovedstad nær Memphis.	Hovedstaden nær Memphis varede kun et halvt århundrede, før dets indbyggere forladte det til den næste hovedstad.	neutral
Jeg mener ikke at være glib om dine bekymringer, men hvis jeg var dig, kunne jeg være mere bekymret over de langsigtede satsimplikationer af denne $ 1.	Jeg er bekymret mere om dine problemer end de langsigtede satsimplikationer.	contradictory
Problemer i datasyntese.	Problemer med datasyntese.	entailment
godt du ser det på tv også	Det kan du også se på tv.	entailment
Vrenna og jeg kæmpede begge ham, og han tog os næsten.	Hverken Vrenna eller jeg har nogensinde kæmpet ham.	contradictory
Denne analyse samlede estimater fra disse to undersøgelser for at udvikle en C-R-funktion, der forbinder PM med kronisk bronkitis.	Analysen viser, at der ikke er nogen forbindelse mellem PM og bronkitis.	contradictory
Han vendte sig og smilede til Vrenna.	Han smilede til Vrenna, der gik langsomt bag sig med sin mor.	neutral
Vi forsøgte at identificere praksis, der blev gennemført af agenturerne inden for de seneste 5 år.	Vi ønsker at identificere praksis, der almindeligvis anvendes af agenturer i de sidste 5 år	entailment
De andre mænd blandede sig.	De andre mænd blev blandet rundt.	entailment
Staterne skal vise rimelige fremskridt i deres statsgennemførelsesplaner mod det kongresmæssigt bemyndigede mål om at vende tilbage til naturlige forhold i nationalparker og vildmarksområder.	Det er ikke nødvendigt for der at være nogen forbedring.	contradictory
godt det har været meget interessant	Det har været meget spændende.	entailment
Han begyndte langsomt tilbage til bunkhuset.	Han kom langsomt tilbage til bunkhuset.	entailment
og det er lidt, jeg tror, at noget er staten, og og resten af kagen går et andet sted, men vi er i en bestemt del af staten, der er ret godt af, så det er det s som vi får meget af det tilbage så vidt lokal beskatning går	Jeg ved ikke præcis, hvor de lokale skatter går.	neutral
De er lavet af en hemmelig opskrift udleveret til de nuværende landsbyboere af deres mallorcanske forfædre, der kom her i begyndelsen af det 17. århundrede som led i en officiel genopbygningsordning.	Opskriften gået ned fra mallorcanske forfædre er kendt for alle.	contradictory
ja godt du er en studerende ret	Nå er du en mekanikstuderende rigtigt?	neutral
