premise	hypo	label
Konceptuāli krēmkrāsošanai ir divi galvenie izmēri - produkts un ģeogrāfija.	Produkts un ģeogrāfija ir tas, kas padara krēmu mizu.	neutral
jūs zināt sezonas laikā, un es domāju, ka jūsu līmenī tu zaudē tos uz nākamo līmeni, ja, ja viņi nolemj atcerēties vecāku komandu, tad Braves nolemj zvanīt, lai atcerētos puisis no trīskāršā. nomainiet viņu un viens puisis aiziet, lai aizvietotu viņu	Ja cilvēki atceras, jūs zaudējat lietas uz nākamo līmeni.	entailment
Viens no mūsu numuriem veiks jūsu norādījumus precīzi.	Mans komandas loceklis izpildīs jūsu pasūtījumus ar milzīgu precizitāti.	entailment
Kā tu zini ? Tas viss ir viņu informācija.	Šī informācija pieder viņiem.	entailment
jā, es jums saku, ko gan, ja jūs dodaties par kādu no šiem tenisa apaviem, es varu redzēt, kāpēc tagad jūs zināt, ka viņi piecelsies simts dolāru diapazonā	Tenisa apaviem ir dažādas cenas.	neutral
mans Walkman lauza, tāpēc es esmu sajukums tagad man vienkārši ir pārvērst stereo patiesi skaļi	Es esmu apbēdināts, ka mans walkman sabruka, un tagad man ir jāpārvērš stereo skaņa ļoti skaļi.	entailment
Bet dažas kristīgās mozaīkas izdzīvo virs apse ir Jaunava ar zīdaini Jēzu, ar Archangel Gabriel pa labi (viņa biedrs Maikls, pa kreisi, ir pazudis, izņemot dažas spalvas no spārniem).	Lielāko daļu kristīgo mozaīku iznīcināja musulmaņi.	neutral
(Lasīt, lai Slate uzņemtos Džeksona secinājumus.)	Slāneklim bija viedoklis par Džeksona konstatējumiem.	entailment
Gejiem un lesbietēm.	Heteroseksuāļi.	contradictory
Rue des Francs-Bourgeois beigās daudzi uzskata par pilsētas skaistāko dzīvojamo laukumu, Place des Vosges, ar akmens un sarkano ķieģeļu fasādēm.	Place des Vosges ir pilnībā veidots no pelēka marmora.	contradictory
Es pārrāvu pa salona durvju komplektu un nokritu uz zemes	Es pārrāvu pa durvīm un nokrita.	entailment
Izklaide pieaugušajiem un bērniem.	Izklaide tikai bērniem.	contradictory
Nav tā, ka jautājumi, kurus viņi lūdza, nebija interesanti vai likumīgi (lai gan lielākā daļa to attiecās uz jau uzdoto un atbildēto kategoriju).	Visi jautājumi bija interesanti, ņemot vērā fokusa grupu, ar kuru notika apspriešanās šajā jautājumā.	neutral
Thebes turējās pie varas līdz 12. dinastijai, kad pirmais karalis Amenešeta Iwho valdīja no 1980. gada līdz 1951. gadam. izveidoja kapitālu Memphis tuvumā.	Galvaspilsēta pie Memfisas ilga tikai pusgadsimtu, pirms tās iedzīvotāji to pameta nākamajam galvaspilsētā.	neutral
Es nedomāju būt par jūsu bažām, bet, ja es būtu jums, es varētu būt vairāk nobažījies par šīs $ 1 likmes ietekmi uz tuvāko laiku.	Es vairāk uztraucu par jūsu problēmām nekā ietekme uz tuvāko periodu.	contradictory
Datu sintēzes jautājumi.	Datu sintēzes problēmas.	entailment
labi redzat to arī televīzijā	To var redzēt arī televīzijā.	entailment
Vrenna un es abi cīnījāmies, un viņš gandrīz mūs aizveda.	Ne Vrenna, ne sevi nekad neesmu cīnījušies.	contradictory
Šī analīze apvienoja šo divu pētījumu aplēses, lai izstrādātu C-R funkciju, kas savieno PM ar hronisku bronhītu.	Analīze pierāda, ka nav saiknes starp PM un bronhītu.	contradictory
Viņš pagriezās un pasmaidīja uz Vrennu.	Viņš pasmaidīja uz Vrennu, kurš lēni aiz viņa aizgāja ar māti.	neutral
Mēs centāmies noteikt praksi, ko aģentūras pēdējos 5 gados parasti īstenoja.	Mēs vēlamies noteikt praksi, ko aģentūras parasti izmanto pēdējos 5 gados	entailment
Pārējie cilvēki sajaucās.	Pārējie vīri bija sajaukti.	entailment
Valstīm jāparāda saprātīgs progress valsts īstenošanas plānos, lai panāktu kongresa pilnvaru mērķi atgriezties pie dabas apstākļiem nacionālajos parkos un tuksnesī.	Tas nav nepieciešams, lai būtu uzlabojumi.	contradictory
labi tas ir bijis ļoti interesants	Tas ir bijis ļoti intriģējošs.	entailment
Viņš lēnām sāka atgriezties bunkurā.	Viņš lēnām atgriezās bunkurā.	entailment
