premise	hypo	label
Pojęciowo kremowe szumowanie ma dwa podstawowe wymiary - produkt i geografię.	Produkt i geografia są tym, co sprawia, że śmietana się skraca.	neutral
wiesz, że w trakcie sezonu i zgaduję, że na twoim poziomie stracisz ich do następnego poziomu, jeśli jeśli zdecydują się przypomnieć sobie drużynę rodzicielską, którą Braves zdecydują się zadzwonić, by przypomnieć sobie faceta z potrójnego A potem podwójnego Faceta idzie do zastąp go i pojedynczego faceta idzie w górę, aby go zastąpić	Tracisz rzeczy do następnego poziomu, jeśli ludzie to pamiętają.	entailment
Jeden z naszych numerów dokona drobiazgowych instrukcji.	Członek mojego zespołu wykona twoje rozkazy z ogromną precyzją.	entailment
Skąd wiesz ? Wszystko to jest ich informacja ponownie.	Ta informacja należy do nich.	entailment
tak, mówię ci co, jeśli jednak wycenisz niektóre z tych butów do tenisa, widzę, dlaczego teraz wiesz, że wstają w przedziale stu dolarów	Buty tenisowe mają różne ceny.	neutral
mój walkman się zepsuł, więc jestem teraz zdenerwowany, muszę tylko głośno włączyć stereo	Jestem zdenerwowany, że mój walkman się zepsuł i teraz muszę głośno włączyć stereo.	entailment
Jednak nad mozaiką przetrwało kilka mozaik chrześcijańskich - Dziewica z Dzieciątkiem Jezus, po prawej Archanioł Gabriel (jego towarzysz Michał po lewej stronie zniknął, z wyjątkiem kilku piór ze swoich skrzydeł).	Większość chrześcijańskich mozaik została zniszczona przez muzułmanów.	neutral
(Przeczytaj artykuł Slate'a na temat ustaleń Jacksona.)	Slate miał opinię na temat ustaleń Jacksona.	entailment
Geje i lesbijki.	Heteroseksualiści.	contradictory
Na końcu Rue des Francs-Bourgeois jest to, co wielu uważa za najpiękniejszy plac mieszkalny w mieście, Place des Vosges, z kamiennymi i czerwonymi ceglanymi fasadami.	Place des Vosges zbudowane jest w całości z szarego marmuru.	contradictory
Wybuchnąłem przez drzwi kabiny i upadłem na ziemię.	Wybuchnąłem przez drzwi i upadłem.	entailment
Zabawa dla dorosłych i dzieci.	Zabawa tylko dla dzieci.	contradictory
Nie chodzi o to, że pytania, które zadawali, nie były interesujące ani uzasadnione (choć większość z nich należała do kategorii już zadanych i odpowiedzi).	Wszystkie pytania były interesujące według grupy fokusowej konsultowanej na ten temat.	neutral
Teby utrzymywały władzę aż do XII dynastii, kiedy jej pierwszy król, Amenemhet I, rządził w latach 1980 1951 r. założył stolicę w pobliżu Memphis.	Stolica w pobliżu Memphis trwała zaledwie pół wieku, zanim jej mieszkańcy porzucili ją na kolejną stolicę.	neutral
Nie mam zamiaru śmiać się z twoich obaw, ale gdybym był tobą, mógłbym być bardziej zaniepokojony skutkami tego 1 USD w najbliższym czasie.	Jestem bardziej zaniepokojony Twoimi problemami niż implikacjami dotyczącymi krótkoterminowych stóp procentowych.	contradictory
Problemy w syntezie danych.	Problemy w syntezie danych.	entailment
cóż, widzicie to także w telewizji	Widać to także w telewizji.	entailment
Vrenna i ja walczyliśmy z nim i on prawie nas zabrał.	Ani Vrenna, ani ja nigdy z nim nie walczyliśmy.	contradictory
Ta analiza zebrała szacunki z tych dwóch badań w celu opracowania funkcji C-R łączącej PM z przewlekłym zapaleniem oskrzeli.	Analiza dowodzi, że nie ma związku między PM a zapaleniem oskrzeli.	contradictory
Odwrócił się i uśmiechnął do Vrenny.	Uśmiechnął się do Vrenny, która szła powoli za nim ze swoją matką.	neutral
Staraliśmy się zidentyfikować praktyki, które były powszechnie wdrażane przez agencje w ciągu ostatnich 5 lat.	Chcemy zidentyfikować praktyki powszechnie stosowane przez agencje w ciągu ostatnich 5 lat	entailment
Inni mężczyźni szurali.	Pozostali mężczyźni zostali przetasowani.	entailment
Państwa muszą wykazać się rozsądnymi postępami w swoich planach wdrażania przez państwo w kierunku nakazanego przez Kongres celu powrotu do naturalnych warunków w parkach narodowych i obszarach dzikiej przyrody.	Nie ma potrzeby poprawy.	contradictory
cóż, to było bardzo interesujące	To było bardzo intrygujące.	entailment
Zaczął powoli wracać do bunkra.	Powoli wrócił do bunkra.	entailment
i to jest trochę, jak sądzę, że sześć jest stanem i reszta ciasta idzie gdzie indziej, ale jesteśmy w konkretnej części stanu, która jest całkiem niezła, więc to wszystko ” tak jakbyśmy otrzymali dużo tego z powrotem, jeśli chodzi o lokalne podatki	Nie wiem dokładnie, gdzie idą podatki lokalne.	neutral
Zostały wykonane z tajnego przepisu przekazanego współczesnym mieszkańcom przez ich przodków z Majorki, którzy przybyli tu na początku XVII wieku w ramach oficjalnego programu odnowy populacji.	Przepis przekazywany przez przodków Majorki jest znany wszystkim.	contradictory
tak, dobrze, jesteś studentem	Cóż, jesteś studentem mechaniki, prawda?	neutral
tak naprawdę słyszałem coś, co ich zdaniem powinno być początkiem wielkiej kampanii w Nowym Jorku na temat molestowania dzieci i powstrzymywania krzywdzenia dzieci, i to ma być tak, jakby zaczęło się, że ma to być wielka kampania ogólnokrajowa i wiesz więc miejmy nadzieję, że wystartuje i naprawdę zrobię coś, czego nie wiem	Szkoda, że nikt nie organizuje kampanii przemocy wobec dzieci.	contradictory
Usługi pocztowe miały zmniejszyć częstotliwość dostaw.	Usługa pocztowa może dostarczać rzadziej.	entailment
W następnej zmianie w gospodarce stwierdzono, że jagnięcina może być hodowana bardziej opłacalnie na nizinnych farmach, po części z powodu bogatszych, bardziej pożywnych pastwisk dostępnych tam, w wyniku czego farmy Lakeland stały się mniej opłacalne.	Kolejna zmiana w gospodarce okazała się bardziej pożywna.	entailment
Reguła zawiera wymogi dotyczące zbierania informacji, które pozwolą EPA określić, czy stosowane są dodatki detergentowe, które skutecznie kontrolują depozyty, i że realizuje się cele kontroli emisji.	Reguła zawiera wymagania dotyczące zbierania danych, które pomagają EPA w realizacji ich celów kontroli emisji.	entailment
Prawie każde wzgórze ma północno-wschodni fort mauretański; nie mniej niż cztery zrujnowane fortece strzegą wejścia do portu; i jeszcze dwa, wciąż w dobrym stanie zamki Atalaya i Galeras chronią morski arsenał, mający ogromne znaczenie dla hiszpańskiej armii.	Nie ma zamków Atalaya i Galeras.	contradictory
Czy oni tam byli?	Czy mieli tam być?	neutral
Podróż Felicji odbywa się za oczami jej centralnej młodej Irlandki, Felicji, która przekracza morze do Anglii w pełnym nadziei poszukiwaniu ojca swojego nienarodzonego dziecka; i gruby, kierownik gastronomii w średnim wieku, Hiditch, który interesuje się ojcowsko dziewczyną, gdy staje się jasne, że jej młody człowiek nieświadomie dał jej poślizg.	Kobieta nie obchodziła, gdzie jest ten mężczyzna, dopóki jest daleko.	contradictory
W krypcie są pochowane szczątki Voltaire'a i Rousseau, Hugo i Zoli, zamordowanego socjalistycznego przywódcy Jeana Jaurysa i Louisa Braille'a, wynalazcę alfabetu dla niewidomych.	W krypcie spoczywają szczątki Woltera i Rousseau, Hugo i Zoli, zamordowanego socjalistycznego przywódcy Jeana Jaurysa i Louisa Braille'a.	entailment
jest para o imieniu um Oh, zapomnę teraz jego imienia uh Dirkson	Nie pamiętam ich imienia	entailment
Poirot, wykrzyknąłem z ulgą i chwyciłem go obiema rękami, wciągnąłem go do pokoju.	Poirot wrócił i żałowałem, że przejmie to, co teraz uważałem za moje własne śledztwo.	contradictory
Słowo „Asuan” oznacza w istocie handel lub rynek starożytnego Egiptu, co oznacza jego najbardziej znaczącą działalność.	Znaczenie Asuana nie zmieniło się w czasie.	contradictory
dobrze, co rynek może znieść i	Rynek nie może tego znieść.	contradictory
