premise	hypo	label
Conceptually kem skimming có hai kích thước cơ bản - sản phẩm và địa lý .	Sản phẩm và địa lý là những gì làm cho kem skimming làm việc .	neutral
Bạn biết trong mùa giải và tôi đoán ở mức độ của bạn , bạn sẽ mất chúng đến mức độ tiếp theo nếu họ quyết định nhớ lại đội ngũ cha mẹ các chiến binh quyết định gọi để nhớ lại một người từ ba a sau đó một người đàn ông đi lên đến thay thế anh ta và một người đàn ông nào đó đi lên để thay thế anh ta .	Anh sẽ mất mọi thứ ở mức độ sau nếu người dân nhớ lại .	entailment
Một trong số chúng tôi sẽ thực hiện các hướng dẫn của bạn minutely .	Một thành viên trong đội của tôi sẽ thực hiện mệnh lệnh của ông với sự chính xác vô cùng lớn .	entailment
Làm sao anh biết ? Tất cả đây là thông tin của họ lần nữa .	Thông tin này thuộc về họ .	entailment
Tôi nói cho anh biết nếu anh đi giá một số đôi giày tennis tôi có thể thấy tại sao bây giờ anh biết họ đang lên hàng trăm đô-La .	Đôi giày tennis có một tầm giá .	neutral
Cái walkman của tôi bị vỡ nên tôi đang bực mình bây giờ tôi chỉ cần bật âm thanh lên thật to	Tôi đang buồn vì cái walkman của tôi bị gãy và bây giờ tôi phải bật âm thanh lên thật to .	entailment
Nhưng một vài người christian mosaics sống sót trên ùn là trinh nữ với Chúa Jesus , cùng với lãnh chúa gabriel bên phải ( người đồng hành Michael , bên trái , đã biến mất tiết kiệm cho một vài lông từ cánh của mình ) .	Hầu hết những người hồi giáo đã bị hủy diệt bởi người hồi giáo .	neutral
( đọc cho slate ' s nhận được trên các phát hiện của Jackson . ) ) ) ) ) ) ) ) ) ) )	Slate đã có một ý kiến về việc tìm kiếm của Jackson .	entailment
Người đồng tính và đồng tính .	Heterosexuals .	contradictory
Cuối cùng của rue des franc-Tư sản là những gì rất nhiều người xem xét để trở thành một khu dân cư đẹp trai nhất thành phố , nơi des vosges , với đá và gạch đỏ .	Địa điểm des vosges được thiết kế đặc biệt hoàn toàn của cẩm thạch xám .	contradictory
Tôi đã nổ tung qua một bộ cửa cabin , và rơi xuống đất	Tôi đã nổ tung cánh cửa và rơi xuống .	entailment
Vui vẻ dành cho người lớn và trẻ em .	Vui vì chỉ có trẻ con .	contradictory
Đó không phải là câu hỏi mà họ yêu cầu không phải là thú vị hoặc hợp pháp ( mặc dù hầu hết đã làm rơi dưới danh mục của đã được yêu cầu và trả lời ) .	Tất cả các câu hỏi đều thú vị theo một nhóm tập trung vấn đề về chủ đề .	neutral
Thebes đã giữ quyền lực cho đến triều đại thứ 12 , khi vị vua đầu tiên của nó , amenemhet iwho reigned giữa 1980 1951 công nguyên đã thành lập một thủ đô gần memphis .	Thủ đô gần memphis chỉ kéo dài nửa thế kỷ trước khi công dân của nó bỏ rơi nó cho thủ đô tiếp theo .	neutral
Tôi không có ý nói gì về mối quan tâm của anh , nhưng nếu tôi là anh , tôi có thể lo lắng hơn về tỷ lệ gần đây của 1 . Đô-la này .	Tôi quan tâm nhiều hơn về vấn đề của anh hơn là có liên quan đến tỷ lệ gần đấy .	contradictory
Các vấn đề trong tổng hợp dữ liệu .	Có vấn đề về tổng hợp dữ liệu .	entailment
À anh thấy cái trên tv cũng được	Anh cũng có thể thấy cái đó trên TV , cũng được .	entailment
Vrenna và tôi đã chiến đấu với anh ta và gần như đã bắt được chúng tôi .	Cả hai ta cũng không bao giờ chiến đấu với anh ta .	contradictory
Phân tích này đã được phân tích ước tính từ hai nghiên cứu này để phát triển chức năng c-r liên kết thủ tướng đến viêm phế quản mãn tính .	Phân tích chứng minh rằng không có liên kết giữa thủ tướng và viêm phế quản .	contradictory
Anh ta đã quay lại và mỉm cười ở vrenna .	Anh ta mỉm cười với vrenna người đang đi từ từ phía sau anh ta với mẹ cô ấy .	neutral
Chúng tôi đã tìm cách xác định các thực tiễn thường được thực hiện bởi các cơ quan trong vòng 5 năm qua .	Chúng tôi muốn xác định các thực tiễn thường được sử dụng bởi các đại lý trong 5 năm qua	entailment
Những người đàn ông khác đã đi .	Những người đàn ông khác đã đi vòng quanh .	entailment
Tiểu bang phải thể hiện sự tiến bộ hợp lý trong các kế hoạch triển khai tình trạng của họ về mục tiêu phân tích congressionally về việc trở về với điều kiện tự nhiên trong các công viên quốc gia và	Không cần thiết để có được sự tiến bộ nào cả .	contradictory
À , nó rất thú vị .	Nó đã rất hấp dẫn .	entailment
Anh ta bắt đầu từ từ trở về nhà .	Anh ta trở về từ từ đến nhà ngủ .	entailment
Và nó khá là một chút tôi nghĩ sáu cái gì đó là tiểu bang và uh phần còn lại của bánh đi đến nơi khác nhưng chúng tôi đang ở một phần đặc biệt của tiểu bang khá tốt cho nên nó giống như chúng tôi nhận được rất nhiều trong số đó trở lại như xa như các thuế địa phương đi	Tôi không biết chính xác thuế địa phương đi đâu .	neutral
Họ được tạo ra từ một công thức bí mật được giao cho dân làng hiện tại bởi tổ tiên ngời của họ , những người đến đây vào thế kỷ 17 như một phần của một kế hoạch repopulation chính thức .	Công thức tan xuống từ ngời tổ tiên được biết đến với tất cả mọi người .	contradictory
Ừ à anh là học sinh đúng	Anh là một học sinh cơ học đúng không ?	neutral
Thực sự là tôi đã nghe thấy một cái gì đó mà họ phải bắt đầu một chiến dịch khổng lồ ở New York về việc lạm dụng trẻ em và ngăn chặn lạm dụng trẻ em và nó phải giống như nó bắt đầu từ đó có thể là một chiến dịch lớn trên toàn quốc và bạn biết rất hy vọng điều đó sẽ cởi ra và thực sự làm điều gì đó mà tôi không biết là chỉ có	Thật không may là không có ai tổ chức một chiến dịch lạm dụng trẻ em .	contradictory
Dịch vụ bưu chính là giảm tần số phân phối .	Dịch vụ bưu điện có thể giảm thường xuyên hơn .	entailment
Và trong một ca khác trong nền kinh tế , nó được tìm thấy rằng lamb có thể được tăng thêm chi phí-hiệu quả trên các trang trại thấp trong phần bởi vì sự giàu có , nhiều hơn nữa các vùng cỏ bổ dưỡng có sẵn ở đó và như là một kết quả lakeland farms trở nên ít lợi nhuận hơn	Một ca khác trong nền kinh tế được tìm thấy để được bổ dưỡng hơn .	entailment
