premise	hypo	label
从 概念 上 看 , 奶油 收入 有 两 个 基本 方面 产品 和 地理 .	产品 和 地理 是 什么 使 奶油 抹 霜 工作 .	neutral
你 知道 在 这个 季节 , 我 猜 在 你 的 水平 你 把 他们 丢到 下 一个 水平 , 如果 他们 决定 召回 的 家长 队 , 勇士 队 决定 打电话 召回 一个 家伙 从 三 个 a , 然后 一个 双人 上 去. 取代 他 和 一个 男人 去 取代 他	如果 人们 记得 的 话 , 你 就 会 把 事情 弄 丢 了 .	entailment
我们 的 一个 号码 会 非常 详细 地 执行 你 的 指示	我 团队 的 一个 成员 将 非常 精确 地 执行 你 的 命令	entailment
你 怎么 知道 的 ? 所有 这些 都 是 他们 的 信息 .	这些 信息 属于 他们 .	entailment
是 啊 , 我 告诉 你 , 如果 你 去 买 一些 网球鞋 , 我 可以 看到 为什么 现在 你 知道 他们 是 起床 在 百 美元 范围 .	网球鞋 有 一 系列 的 价格 .	neutral
我 的 随身听 坏 了 所以 我 现在 不高兴 了 我 只能 把 立体 声调 大声	我 很 难 过 我 的 随身听 坏 了 现在 我 得 把 音响 调 大 一点	entailment
但 有 几 个 基督教 镶嵌 在 apse 之上 , 是 处女 与 婴儿 耶稣 , 与 大天使 加布里埃尔 在 右边 ( 他 的 同伴 迈克尔 到 左边 , 消失了 拯救 了 他 的 翅膀 上 的 几 毛 羽毛 ) .	大多数 基督教 马赛克 都 被 穆斯林 摧毁 .	neutral
看看 杰克逊 的 调查 结果 )	石板 对 杰克逊 的 调查 结果 有 意见	entailment
男 女 同性恋 .	异性恋者	contradictory
在 rue des 法郎 的 结束 时 , 很多 人 认为 是 城市 最 英俊 的 住宅 广场 , 孚日 广场 , 用 石头 和 红砖 墙 .	孚日 广场 完全 是 用 灰色 大理石 建造 的 .	contradictory
我 穿过 一 套 舱门 然后 掉到 地上	我 闯进 了 门 然后 摔 倒 了	entailment
对 成人 和 儿童 来说 很 有趣 .	只 有 孩子 才 会 开心	contradictory
不 是 他们 问 的 问题 是 不有 趣 或 合法 的 ( 虽然 大多数 都 属于 已经 要 求 和 回答 的 类别 ) .	所有 这些 问题 都 很 有 意义 , 因为 就 这个 问题 征求 了 一个 重点 小组 的 意见 .	neutral
底比斯 一直 掌权 直到 第12 王朝 第一 个 国王 amenemhet iwho 在 公元前 1980年 在 孟菲斯 附近 建立 了 一个 首都	在 孟菲斯 附近 的 首都 只 持续 了 半 个 世纪 之前 , 它 的 居民 放弃 了 它 的 下 一个 首都 .	neutral
我 并 不 想 对 你 的 关切 感到 油腔滑调 , 但 如果 我 是 你 的 话 , 我 可能 会 更 关心 这 1.千 美元 的 短期 影响 .	我 更 关心 你 的 问题 , 而 不 是 近期 所 涉及 的 问题 .	contradictory
数据 综述 中 的 问题 .	数据 合成 方面 的 问题 .	entailment
你 在 电视 上 也 看到 了	你 也 可以 在 电视 上 看 到	entailment
Vrenna 和 我 都 打 了 他 , 他 差点 把 我们 带走 .	我 也 没有 跟 他 打 过 仗	contradictory
这项 分析 汇集 了 这 两 项 研究 的 估计 数 , 以 开发 一个 与 慢性 支气管炎 有关 的 c-r 功能 .	分析 证明 , pm 和 支气管炎 之间 没有 联系 .	contradictory
他 转身 微笑 在 vrenna.	他 微笑 着 跟 她 母亲 一起 慢慢 地 走 在 他 身后	neutral
我们 力求 确定 各 机构 在 过去 5 年 中 共同 执行 的 做法 .	我们 希望 确定 过去 5 年 各 机构 常用 的 做法 .	entailment
其他人 都 不 稳定	其他人 被 打 乱了	entailment
各国 必须 在 其 国家 执行 计划 中 取得 合理 的 进展 , 以 实现 在 国家 公园 和 荒野 地区 恢复 自然条件 的 法定 目标 .	它 没有 必要 做 任何 改进 .	contradictory
嗯 , 这 是 非常 有趣 的	这 是 非常 有趣 的 .	entailment
他 开始 慢慢 回到 工棚 .	他 慢慢 回到 工棚 .	entailment
这 是 相当 有 一点 我 认为 六 个 东西 是 州 , 和呃 剩下 的 馅饼 去 其他 地方 , 但 我们 在 一个 特定 的 国家 的 一 部分 , 这 是 相当 好 的 , 所以 它 是 像 我们 得到 了 很多. 在 当地 征税 的 情况下	我 不 知道 当地 税收 到底 在 哪里 .	neutral
他们 是 从 17 世纪 初 来到 这里 , 作为 正式 的 repopulation 计划 的 一部分 来 的 一个 秘密 食谱 , 由 他们 的 mallorcan 祖先 交给 现在 的 村民 .	每个 人 都 知道 从 mallorcan 祖先 传来 的 食谱 .	contradictory
是 啊 , 你 是 一个 学生	那么 你 是 一个 机械 学生 对吗 ?	neutral
我 真的 听到 了 一些 东西 他们 应该 在 纽约 发起 一 场 大规模 的 运动 关于 虐待 儿童 和 制止 虐待 儿童 , 它 应该 像 它 开始 在 那里 应该 像 一个 大 规模 的 全国性 运动 , 你 知道 如此 希望 这 将 起飞 并 真的 做 了 一些 我 不 知道 的 事情	不幸的是 , 没有 人 正 在 组织 虐待 儿童 运动 .	contradictory
邮政 服务 是 为了 减少 交货 频率 .	邮政 服务 可 提供 较 少 的 服务 .	entailment
在 经济 的 另 一个 转变 中 , 人们 发现 , 在 低地 农场 可以 提高 羊 羊 的 成本 效益 , 部分 原因 是 那里 有 更 丰富 , 更 有 营养 的 放牧 地 , 因此 莱克兰 农场 变 得 越来越 有利可图 .	经济 的 另 一个 转变 被 认为 更 有 营养 .	entailment
该 规则 载有 信息 收集 要求 , 使 环境署 能够 确定 有效 控制 存款 的 洗涤剂 添加剂 并 实现 排放 控制 目标 .	该 规则 有 数据 收集 要求 , 有助于 环保局 实现 其 排放 控制 目标 .	entailment
几乎 每 一 座 山 都 有 一个 摩尔人 堡垒 ; 不 少于 四 个 被 毁 的 堡垒 守卫 海港 入口 ; 还有 两 个 , 仍 在 良好 的 修复 中 , 阿塔莱亚和 galeras 城堡 保护 了 海上 阿森纳 , 对 西班牙 至关重要 . 军队	没有 城堡 和 galeras.	contradictory
他们 在 里面 吗 ?	他们 应该 在 里面 吗 ?	neutral
费利 西亚 的 旅程 是 在 它 的 中央 一个 年轻 的 爱尔兰 女孩 菲 利 西亚 的 眼中 发生 的 , 他 在 英格兰 过海 , 希望 找到 她 未出 生 的 孩子 的 父亲 ; 还有 胖 , 中年 餐饮 经理 , hiditch , 谁 ? 当 她 很 清楚 她 的 年轻人 给 了 她 一个 小孩 的 时候 她 就 会 对 她 有 兴趣	该 名 妇女 并 不 关心 男人 在 哪里 长 得 很 远 .	contradictory
