premise	hypo	label
Conceptually krem skimming iki əsas ölçüsü var - məhsul və coğrafiya.	Məhsul və coğrafiya krem üçün skimming işi edir.	neutral
mövsüm əsnasında bilirsiniz və üst səviyyədə uh deyirsinizsə, onda valideyn komandasını geri çağırmağa qərar verərlər, əgər Braves üçlü A bir oğlanı çağırmağa çağırırsa, ikiqat bir adam bir qədər qalır onu əvəz etməli və tək bir adam onu əvəz etmək üçün çıxır	Əgər insanlar xatırlayırlarsa, şeyləri aşağıdakı səviyyəyə endirirsiniz.	entailment
Nömrəmlərimizdən biri sizin təlimatınızı mütləq yerinə yetirəcəkdir.	Komandamızın bir üzvü sifarişlərinizi həssaslıqla yerinə yetirəcəkdir.	entailment
Sən necə bilirsən ? Bütün bunlar yenə də onların məlumatlarıdır.	Bu məlumat onlara aiddir.	entailment
Bəli, mən sənə bu tennis ayaqqabılarından bəzilərini qiymətə getirsən, niyə görə bilirsən ki, onlar yüz dolar aralığında qalırlar	Tennis ayaqqabıları bir sıra qiymətlərə malikdir.	neutral
mənim yürüşçü qırdı ki, mən indi qəzəblənirəm, sadəcə stereoyu yüksək səslə çevirmək məcburiyyətindəyəm	Mənim yürüyüşçü qırdı və indi stereo həqiqətən yüksək səs çevirmək var ki, üzdü.	entailment
Ancaq bir neçə xristian mozaika, apsisdən yuxarı qalmışdır. Körpə, İsa ilə olan Virgin, sağa Archangel Gabriel (onun yoldaşı Maykl, sola, qanadlarından bir neçə lələk üçün yox idi).	Xristian mozaikalarının əksəriyyəti müsəlmanlar tərəfindən məhv edildi.	neutral
(Slate'in Jackson 'ın tapıntıları üzərinə götürməsi üçün oxuyun).	Slate, Jackson'ın tapıntıları haqqında bir fikir qazanmışdı.	entailment
Geylər və lezbiyenler.	Heteroseksuallar.	contradictory
Rue des Francs-Burjuois sonunda, daş və qırmızı kərpicli fasadları ilə çoxu şəhərin ən gözəl yaşayış meydanı, Place des Vosges olduğu düşünülür.	Place des Vosges tamamilə boz mermerdən inşa edilir.	contradictory
Mən bir sıra kabin qapıları ilə partladım və yerə düşdüm -	Mən qapıdan çıxdım və düşdüm.	entailment
Böyüklər və uşaqlar üçün əyləncə.	Yalnız uşaqlar üçün əyləncə.	contradictory
