premise	hypo	label
Koncepčně krémový skimming má dva základní rozměry - produkt a zeměpis.	Produkt a geografie jsou to, co dělá krém skimming práci.	neutral
víte, v průběhu sezóny a myslím, že na vaší úrovni uh ztratíte je na další úroveň, pokud se rozhodnou vzpomenout na mateřský tým, že Braves se rozhodnou zavolat na chlapa z trojice A, pak dvojitý chlapík jde nahoru Nahraďte ho a jeden chlap se vydá, aby ho nahradil	Pokud si lidé vzpomenou, ztratíte věci na následující úroveň.	entailment
Jeden z našich čísel provede vaše instrukce podrobně.	Člen mého týmu provede vaše objednávky s nesmírnou přesností.	entailment
Jak to víš ? To vše je opět jejich informace.	Tyto informace patří k nim.	entailment
Jo, já vám řeknu, co když ale půjdete cenu některé z těch tenisových bot vidím, proč teď víte, že se dostávají do sto dolárů	Tenisová obuv má řadu cen.	neutral
můj walkman zlomil, takže jsem naštvaná teď musím otočit stereo nahoru opravdu hlasitě	Jsem naštvaná, že se můj walkman zlomil a teď musím stereo nahrát opravdu nahlas.	entailment
Nad apsidou však přežije několik křesťanských mozaik s Pannou s dítětem Ježíšem, s archandělem Gabrielem vpravo (jeho společník Michael, vlevo zmizel s výjimkou několika peří z křídel).	Většina křesťanských mozaik byla zničena muslimy.	neutral
(Přečtěte si o břidlicovém přijetí Jacksonových nálezů.)	Slate měl názor na Jacksonova zjištění.	entailment
Gayové a lesbičky.	Heterosexuálové.	contradictory
Na konci Rue des Francs-Bourgeois je to, co mnozí považují za nejkrásnější rezidenční náměstí ve městě, Place des Vosges, s fasádami z kamene a červených cihel.	Place des Vosges je postaven výhradně ze šedého mramoru.	contradictory
Vrhl jsem se do dveří kabiny a spadl na zem.	Vstoupil jsem do dveří a spadl.	entailment
Zábava pro dospělé a děti.	Zábava pouze pro děti.	contradictory
Není to tak, že otázky, které si kladli, nebyly zajímavé ani legitimní (i když většina z nich spadala do kategorie již žádaných a zodpovězených).	Všechny otázky byly zajímavé podle fokusové skupiny konzultované na toto téma.	neutral
Thebes držel se moci až do 12. dynastie, když jeho první král, Amenemhet Iwho vládl mezi 1980 1951 b.c. založil kapitál blízko Memphis.	Hlavní město poblíž Memphisu trvalo jen půl století, než ho obyvatelé opustili pro další hlavní město.	neutral
Nechci být glib o tvých obavách, ale kdybych byl tebou, mohl bych se více zajímat o důsledky tohoto $ 1 v blízké době.	Jsem znepokojen více o vašich problémech, než o důsledcích v blízké době.	contradictory
Problémy při syntéze dat.	Problémy při syntéze dat.	entailment
Vidíte to také v televizi	Vidíte to také v televizi.	entailment
Vrenna a já jsme oba bojovali proti němu a on nás téměř vzal.	Ani Vrenna, ani já jsme s ním nikdy bojovali.	contradictory
Tato analýza spojila odhady z těchto dvou studií s cílem vyvinout funkci C-R spojující PM s chronickou bronchitidou.	Analýza dokazuje, že mezi PM a bronchitidou neexistuje žádná souvislost.	contradictory
Otočil se a usmál se na Vrennu.	Usmál se na Vrennu, která pomalu šla za ním s matkou.	neutral
Snažili jsme se identifikovat postupy, které agentury v uplynulých 5 letech běžně prováděly.	Chceme identifikovat postupy běžně používané agenturami v posledních 5 letech	entailment
Ostatní muži se zamotali.	Ostatní muži byli zamícháni.	entailment
Státy musí prokázat přiměřený pokrok ve svých státních prováděcích plánech směrem k cíleně nařízenému cíli návratu k přírodním podmínkám v národních parcích a oblastech divočiny.	Není nutné, aby došlo ke zlepšení.	contradictory
Bylo to velmi zajímavé	Bylo to velmi zajímavé.	entailment
Pomalu se vrátil do bunkry.	Pomalu se vrátil do bunkry.	entailment
a je to docela dost, myslím, že šest je stát a a zbytek koláče jde jinam, ale jsme v určité části státu, která je dost dobře, takže je to ono. s, jako bychom se toho hodně vrátili, pokud jde o místní zdanění	Nevím přesně, kam místní daně jdou.	neutral
Jsou vyrobeny z tajného receptu předaného současným vesničanům jejich mallorskými předky, kteří sem přišli na počátku 17. století jako součást oficiálního repopulačního schématu.	Recept předaný z mallorských předků je každému znám.	contradictory
jo dobře jsi studentské právo	No, jste studentem mechaniky?	neutral
je to opravdu jsem slyšel něco, co by mělo být jejich zahájení obrovskou kampaň v New Yorku o um zneužívání dětí a zastavení zneužívání dětí, a to by mělo být, jako by to začíná tam měl být jako velká celostátní kampaň a víte tak doufejme, že to vzlétne a opravdu udělá něco, co nevím, že je to jen	Je nešťastné, že nikdo pořádá kampaň na zneužívání dětí.	contradictory
Poštovní služba měla snížit frekvenci dodávek.	Poštovní služba by mohla poskytovat méně často.	entailment
A v dalším posunu v ekonomice bylo zjištěno, že jehněčí maso by mohlo být zvýšeno cenově efektivněji na nížinných farmách zčásti kvůli bohatší, výživnější pastvině, která je k dispozici, a v důsledku toho se farmy Lakeland staly méně ziskovými.	Další posun v ekonomice byl více výživný.	entailment
Pravidlo obsahuje požadavky na shromažďování informací, které umožní EPA určit, zda se používají přísady detergentů, které jsou účinné při kontrole usazenin a zda jsou realizovány cíle regulace emisí.	Pravidlo má požadavky na sběr dat, které napomáhají EPA realizovat své cíle v oblasti regulace emisí.	entailment
Téměř každý kopec má na severovýchodě maurskou pevnost; vstup do přístavu chrání nejméně čtyři zničené pevnosti; a další dva, stále v dobrém stavu hrady Atalaya a Galeras chrání arzenál moře-přední, životně důležité pro španělské armády.	Neexistují žádné hrady Atalaya a Galeras.	contradictory
Byli tam?	Měli tam být?	neutral
Felicia je cesta se koná za očima jeho centrální mladé irské dívky, Felicia, kdo překročí moře do Anglie v nadějném hledání najít otce jejího nenarozeného dítěte; a tučný manažer stravování ve středním věku, Hiditch, který se zajímá o děvče, když je zřejmé, že jí její mladík dala klouzat.	Žena se nestarala, kde je ten muž tak dlouho, jak to bylo daleko.	contradictory
V kryptě jsou pohřbeni pozůstatky Voltaire a Rousseau, Hugo a Zola, zavražděný socialistický vůdce Jean Jaurys a Louis Braille, vynálezce abecedy pro nevidomé.	Pozůstatky Voltaire a Rousseau, Hugo a Zola, zavražděný socialistický vůdce Jean Jaurys, a Louis Braille je pohřben v kryptě.	entailment
Je tu jeden pár, který se jmenuje um oh, teď zapomenu jeho jméno uh Dirkson	Nesmím si vzpomenout na jejich jméno	entailment
Poirot, s úlevou jsem zvolal a chytil ho oběma rukama, odtáhl jsem ho do místnosti.	Poirot už byl zpátky a byl jsem líto, že převezme to, co jsem považoval za vlastní vyšetřování.	contradictory
Slovo aswan ve skutečnosti znamená obchod nebo trh ve starověkém egyptském, což znamená jeho nejvýznamnější činnost.	Aswanův význam se v čase nezměnil.	contradictory
to, co trh může nést a	Trh nemůže nést nic z toho.	contradictory
A ukázat, jak rychle se nová japonská pravítka chytila, byly zahájeny dvě represivní výpravy proti Koreji a Číně ve velkolepém způsobu diplomacie z 19. století.	Japonští noví vládci chytali rychle.	entailment
