premise	hypo	label
Konceptuell krämskimming har två grundläggande dimensioner - produkt och geografi.	Produkt och geografi är vad som gör att skummen fungerar.	neutral
du vet under säsongen och jag antar att på din nivå, förlorar du dem till nästa nivå om om de bestämmer sig för att återkalla förälderlaget bestämmer Braves att ringa för att återkalla en kille från triple A då en dubbel En kille går upp till ersätt honom och en enda En kille går upp för att ersätta honom	Du förlorar sakerna till följande nivå om folket återkallar.	entailment
Ett av vårt nummer kommer att utföra dina instruktioner minutiöst.	En medlem i mitt team kommer att genomföra dina order med oerhört precision.	entailment
Hur vet du ? Allt detta är deras information igen.	Denna information tillhör dem.	entailment
ja, jag berättar vad men om du går på pris några av dessa tennisskor kan jag se varför nu vet du att de står upp i hundra dollar	Tennisskorna har en rad priser.	neutral
min walkman bröt så jag är upprörd nu behöver jag bara sätta upp stereo upp riktigt högt	Jag är upprörd att min walkman bröt och nu måste jag sätta stereo upp riktigt högt.	entailment
Men några kristna mosaiker överlever över apsen är Jungfruen med spädbarnet Jesus, med ärkeängel Gabriel till höger (hans följeslagare Michael, till vänster, har försvunnit rädda för några fjädrar från hans vingar).	De flesta kristna mosaikerna förstördes av muslimer.	neutral
(Läs för Skiffer tar på Jacksons resultat.)	Skiffer hade en åsikt om Jacksons resultat.	entailment
Homosexuella och lesbiska.	Heterosexuals.	contradictory
I slutet av Rue des Francs-Bourgeois är det många som anses vara stadens vackraste bostadsområde, Place des Vosges, med sina sten- och röda tegelfasader.	Place des Vosges är byggt helt av grå marmor.	contradictory
Jag bröt genom en uppsättning kabindukar och föll till marken	Jag bröt genom dörrarna och föll ner.	entailment
Roligt för vuxna och barn.	Kul för bara barn.	contradictory
Det är inte så att frågorna de frågade inte var intressanta eller legitima (även om de flesta faller under kategorin av redan frågade och svarade).	Alla frågor var intressanta enligt en fokusgrupp som rådfrågades om ämnet.	neutral
Thebes höll på makten fram till den 12: e dynastin, när dess första kung, Amenemhet Iwho regerade mellan 1980 1951 b.c. etablerat en huvudstad nära Memphis.	Huvudstaden nära Memphis varade bara ett halvt sekel innan invånarna övergav det till nästa huvudstad.	neutral
Jag menar inte att vara glib om dina bekymmer, men om jag var du, kanske jag är mer oroad över de kortfristiga prispåverkningarna av denna $ 1.	Jag är oroad över dina problem än de kortfristiga räntesubstanserna.	contradictory
Problem i datasyntes.	Problem med datasyntes.	entailment
ja, du ser det på tv också	Du kan se det på tv också.	entailment
Vrenna och jag kämpade båda och han tog oss nästan.	Värnan eller jag har aldrig kämpat honom.	contradictory
Denna analys samlade uppskattningar från dessa två studier för att utveckla en C-R-funktion som kopplar PM till kronisk bronkit.	Analysen visar att det inte finns någon länk mellan PM och bronkit.	contradictory
Han vände och log på Vrenna.	Han log på Vrenna som gick långsamt bakom sig med sin mamma.	neutral
Vi försökte identifiera praxis som vanligen genomfördes av byråerna inom de senaste 5 åren.	Vi vill identifiera praxis som vanligen används av byråer under de senaste 5 åren	entailment
De andra männen blandade sig.	De andra männen blandades runt.	entailment
Staterna måste visa rimliga framsteg i sina genomförandeplaner för staten mot det kongressmässigt uppdragna målet att återvända till naturliga förhållanden i nationalparker och vildmarksområden.	Det är inte nödvändigt för att det ska bli någon förbättring.	contradictory
ja det har varit väldigt intressant	Det har varit väldigt spännande.	entailment
Han började långsamt tillbaka till bunkhuset.	Han gick långsamt tillbaka till bunkhuset.	entailment
och det är det ganska, jag tror att sex är staten och och resten av pajen går på annat håll, men vi är i en viss del av staten som är ganska bra så det är det s som vi får mycket av det tillbaka så långt som lokal beskattning går	Jag vet inte exakt var de lokala skatterna går.	neutral
De är gjorda av ett hemligt recept som levereras till de nuvarande byborna av sina mormorska förfäder, som kom hit i början av 17-talet som en del av ett officiellt återuppbyggnadsprogram.	Receptet som gått ner från mormorska förfäder är känt för alla.	contradictory
ja, du är en student rätt	Tja, är du en mekanikstuderande rätt?	neutral
det är verkligen jag hört något att de skulle starta en stor kampanj i New York om barnmisshandel och stoppa barnmisshandel och det ska vara som att det börjar vara som en stor rikstäckande kampanj och du vet så förhoppningsvis kommer det att ta av och verkligen göra något jag inte vet att det bara är	Det är olyckligt att ingen organiserar en kampanj för barnmisshandel.	contradictory
Posttjänsten skulle minska leveransfrekvensen.	Posttjänsten skulle kunna leverera mindre ofta.	entailment
Och i ett annat skifte i ekonomin visade sig att lamm kunde höjs mer kostnadseffektivt på lågländska gårdar delvis på grund av det rikare och mer näringsrika betesmark som finns där och därmed blev Lakeland gårdar mindre lönsamma.	Ett annat skifte i ekonomin befanns vara mer näringsrik.	entailment
Regeln innehåller krav på insamling av information som gör det möjligt för EPA att fastställa att tvättmedelstillsatser som är effektiva vid kontroll av insättningar används och att utsläppskontrollmål uppnås.	Regeln har krav på datainsamling som hjälper EPA att förverkliga sina utsläppskontrollmål.	entailment
Nästan varje kulle har i nordöstra det finns ett moriskt fort; inte färre än fyra förstörda fästningar vakter hamnstarten; och ytterligare två, fortfarande i gott skick, skyddar Atalaya och Galeras slott i havsfronten, vilket är avgörande för Spaniens militär.	Det finns inga slott Atalaya och Galeras.	contradictory
Var de där inne?	Skulle de vara där?	neutral
Felicias resa sker bakom dess centrala en ung irländsk tjej, Felicia, som korsar havet till England i ett hoppfullt försök att hitta fadern till hennes ofödda barn; och den feta medelålders cateringchefen Hiditch, som tar ett faderligt intresse för lasset när det blir klart att hennes unga man caddishly har gett henne glidningen.	Kvinnan bryr sig inte om hur mannen var så länge som den var långt.	contradictory
I kryptan är interred resterna av Voltaire och Rousseau, Hugo och Zola, mördade socialistiska ledaren Jean Jaurys och Louis Braille, uppfinnaren av alfabetet för blinda.	Resterna av Voltaire och Rousseau, Hugo och Zola, mördade socialistiska ledare Jean Jaurys och Louis Braille är alla interred i krypten.	entailment
det är ett par som heter Oh, jag kommer att glömma hans namn nu, uh Dirkson	Jag kan inte komma ihåg deras namn	entailment
Poirot, ropade jag med lättnad och grep honom med båda händerna, jag slog honom in i rummet.	Poirot var nu tillbaka och jag var ledsen att han skulle ta över det jag nu betraktade min egen utredning.	contradictory
Ordet aswan betyder faktiskt handel eller marknad i antika egyptiska, vilket betyder att den är mest framträdande aktivitet.	Aswans innebörd har inte förändrats över tiden.	contradictory
bra vad marknaden kan bära och	Marknaden kan inte bära något av det.	contradictory
Och för att visa hur snabbt Japans nya härskare var på gång, lanserades två straffaktiga expeditioner mot Korea och Kina i det stora sättet att 19th century gunboat diplomacy.	Japans nya härskare snodde snabbt.	entailment
När förvaltningsfonden börjar köra kontantunderskott 2016 måste regeringen som helhet få kontanter för att finansiera socialförsäkrings kassaflöde genom att minska eventuella prognostiserade överskott i socialförsäkringssystemet, upplåning från allmänheten, ökning av andra skatter eller minska andra offentliga utgifter.	Allmänheten föredrar generellt sett att regeringen minskar sina utgifter på andra områden för att finansiera social trygghet.	neutral
Dessa organisationer investerar tid och ansträngning för att förstå sina processer och hur dessa processer bidrar till eller hindrar uppdragets prestation.	Dessa organisationer investerar mycket tid för att förstå hur vissa processer kan bidra till eller haampe	entailment
och det är trevligt att prata med dig all righty	Jag pratar med dig varje dag.	neutral
Du har tillgång till fakta.	Fakta är tillgängliga för dig.	entailment
Bygg miljöteknik Tillverkning Produktion (alla satsverktyg) (1: a uppsättning produktionsverktyg)	Det är den första uppsättningen produktionsverktyg för tillverkning.	entailment
Så länge du har ditt eget hushåll i ordning, är det mycket som att fröja om din granns utgiftsvanor som att fröja om hans vardagsrumsfärg.	Du borde oroa dig för färgen på din granne.	contradictory
ja så, det är det självklart de kan de, de går med, de kan alltid ansluta sig till militärtjänsten, de anses vara medborgare som jag tror	De kan inte ansluta sig till militärtjänsten	contradictory
Hon loggade tillbaka.	Hon var så glad att hon inte kunde sluta le.	neutral
Enligt Aktuarmontorets kansli vid Hälsovårdsfinansieringsverket är det uppskattade nettoförsäljningsvärdet av framtida extra resurser som behövs för att bara finansiera HI-förmåner under 75 år 4 USD.	Netto nuvärdet av framtida extra resurser för finansiering av HI-förmåner var 4 USD.	entailment
Således, med avseende på rättegångstjänsterna, som kongressen har finansierat, finns det ingen alternativ kanal för uttryck för förespråkande kongressen strävar efter att begränsa.	Detta är den enda kanalen för uttryck för förtal som kongressen strävar efter att begränsa.	entailment
Hur fixar vi det här? '	Kan vi fixa det här?	entailment
men det tar för mycket planering	Det tar inte mycket planering.	contradictory
Jag nämnde inte Monica i min föreläsning, men den första frågan jag ställdes om var hur president Clinton kunde göra sitt jobb med alla distraheringar som orsakades av Monica Lewinsky-affären.	De ville komma igenom föreläsningen utan några problem.	neutral
Analysera posttjänstkonton för avskrivningar, bränsle och underhåll för stadsleverantörer, vi har uppskattat den genomsnittliga stadsleveranskostnaden per rutt.	Kostnadsberäkningar kan beräknas som genomsnittliga uppgifter.	neutral
Eftersom det spelar på min barndoms fantasi.	Konsten spelar på min unga fantasi.	neutral
det är långsamt det är oj det finns många bättre maskiner på marknaden just nu för	Det här är den snabbaste maskinen, du kommer inte hitta en bättre maskin.	contradictory
I hjärtat av helgedomen höll en liten granit helgedom en gång den heliga barman av Horus själv.	Horus är en gud.	neutral
Tänk på Förenta staternas posttjänst.	Glöm USAs posttjänst.	contradictory
I full kostym.	Han har på sig en maskot kostym.	neutral
Även om din resa kommer att bli svår och ibland kommer du att tvivla på dig själv. Fördelarna med kunderna är väl värda det och tillfredsställelsen att höra även de mest motstridiga motståndarna säger att det nya systemet är bättre än det som gick före är djupt givande.	Det nya systemet förefaller mycket mer komplext, men i slutändan lättare och grundligare.	neutral
Ta en anmärkningsvärd statistik som Shesol citerar men låter passera relativt unexamined.	De hade data som var mycket relevanta men under användning.	entailment
