premise	hypo	label
Kontseptuaalselt koorest koorimisel on kaks peamist mõõdet - toode ja geograafia.	Toode ja geograafia on see, mis teeb koorest koorimise.	neutral
sa tead hooaja jooksul ja ma arvan, et sinu tasandil kaotate nad järgmisele tasandile, kui nad otsustavad emaettevõtte meeskonda meenutada, otsustavad Braves helistada kolmekordsetele meestele. asenda teda ja üks poiss läheb tema asemele	Kui inimesed meenutavad, kaotate asjad järgmisele tasemele.	entailment
Üks meie number täidab teie juhised täpselt.	Minu meeskonna liige täidab teie tellimusi tohutult täpselt.	entailment
Kuidas sa tead ? Kõik see on jälle nende teave.	See teave kuulub neile.	entailment
jah ma ütlen teile, mida aga kui te hindate mõnda neist tennisejalatsitest, näen, miks nüüd sa tead, et nad tõusevad saja dollari vahemikus	Tennisejalatsitel on erinevad hinnad.	neutral
minu Walkman murdis nii et ma olen nüüd ärritunud, ma lihtsalt pean stereo üles tõeliselt valjuks	Ma olen häiritud, et mu jalutuskäik murdis ja nüüd pean stereo tõeliselt tugevaks muutma.	entailment
Aga mõned kristlikud mosaiigid elavad apse kohal üle Neitsi Jeesuse lapsega, paremal arkangel Gabriel (tema kaaslane Michael vasakul on kadunud, välja arvatud mõned sulged oma tiibadest).	Enamik kristlikke mosaiikke hävitasid moslemid.	neutral
(Lugege, et Slate võtab endale Jackson'i järeldused.)	Slate'il oli arvamus Jackson'i leidude kohta.	entailment
Geid ja lesbid.	Heteroseksuaalid.	contradictory
Rue des Francs-Bourgeois'i lõpus on palju, mida nad peavad linna kõige ilusamaks elurajooniks, Place des Vosges'ile, oma kivi- ja punase telliskiviga fassaadidega.	Place des Vosges on ehitatud täielikult hallmarmist.	contradictory
Ma lõhkusin läbi salongiuste komplekti ja langesin maapinnale	Ma lõhkusin uste läbi ja kukkusin maha.	entailment
Lõbus täiskasvanutele ja lastele.	Lõbus ainult lastele.	contradictory
Ei ole, et küsitud küsimused ei olnud huvitavad ega õigustatud (kuigi enamik neist kuulusid juba küsitud ja vastatud kategooriasse).	Kõik küsimused olid huvipakkuvad selle teema kohta konsulteeritud fookusgrupi järgi.	neutral
Thebes hoidis võimule kuni 12. dünastiani, mil tema esimene kuningas Amenemhet Iwho valitses aastatel 1980–1995. Memphise lähedal.	Memphise lähedal asuv pealinn kestis vaid pool sajandit, enne kui selle elanikud loobusid sellest järgmise pealinna jaoks.	neutral
Ma ei taha olla sinu muredega kursis, aga kui ma teid oleksin, siis võib mul olla rohkem muret selle $ 1 vahetuskursi mõju pärast.	Olen rohkem mures teie probleemide pärast kui lähiajal põhinev mõju.	contradictory
Andmete sünteesi küsimused.	Andmete sünteesi probleemid.	entailment
