premise	hypo	label
A fogalmi szempontból krémmentesítésnek két fő mérete van: a termék és a földrajz.	A termék és a földrajz teszi a krémet megmunkáló munkát.	neutral
tudod a szezon alatt, és azt hiszem, a te szintedre elveszted őket a következő szintre, ha úgy döntenek, hogy visszahívják a szülői csapatot, a Braves úgy döntött, hogy hívja fel, hogy emlékezzen egy háromból. cserélje ki őt, és egy A srác felemelkedik a helyére	Ha az emberek visszahívnak, elveszíti a dolgokat a következő szintre.	entailment
Számunk egyike pontosan elvégzi az utasításokat.	A csapatom egyik tagja óriási pontossággal hajtja végre a megrendeléseket.	entailment
Honnan tudod ? Mindez ismét az ő információjuk.	Ez az információ nekik tartozik.	entailment
Igen, mondom, hogy mi van akkor, ha a teniszcipők közül néhányat árulok, akkor látom, miért tudod, hogy most már a száz dollár tartományban felkelnek	A teniszcipők árkategóriával rendelkeznek.	neutral
az én walkmanem megtört, ezért ideges vagyok most, hogy csak a hangszórót kell igazán hangosan felkapcsolnom	Ideges vagyok, hogy a walkman megtört, és most nagyon hangosan ki kell kapcsolnom a sztereót.	entailment
De néhány keresztény mozaik túlél az apszis felett, a Szűz a csecsemő Jézussal, Gabriel arkangyal jobbra (társai, Michael, balra eltűnt, kivéve néhány szárnyát).	A keresztény mozaikok nagy részét a muszlimok elpusztították.	neutral
(Olvassa el, hogy Slate veszi át Jackson megállapításait.)	Slate véleménye volt Jackson megállapításairól.	entailment
Melegek és leszbikusok.	Heteroszexuálisok.	contradictory
A Rue des Francs-Bourgeois végén az a sok, a város legszebb lakóterülete, a Place des Vosges, a kő- és vörös tégla homlokzatával.	A Place des Vosges teljesen szürke márványból épült.	contradictory
Egy kabin ajtókon keresztül törtem ki, és a földre esett	Felborultam az ajtókon, és leesettem.	entailment
Szórakoztató felnőttek és gyermekek számára.	Szórakozás csak gyerekeknek.	contradictory
Nem az, hogy az általuk megkérdezett kérdések nem voltak érdekesek vagy legitimek (bár a legtöbb a már megkérdezett és válaszolt kategóriába esett).	Az összes kérdés érdekes volt a témával kapcsolatban konzultált fókuszcsoport szerint.	neutral
Thebes a 12. dinasztiaig tartotta hatalmát, amikor az első királya, Amenemhet Iwho uralkodott 1980 és 1951 között. Memphis közelében alapított tőkét.	A Memphis közelében lévő főváros csak fél évszázadig tartott, mielőtt lakói elhagyották volna a következő főváros számára.	neutral
Nem értem az aggodalmaidat, de ha én lennék, jobban aggódnék az 1 dollár közelgő árfolyam-hatásai miatt.	Sokkal jobban aggódom a problémáiddal, mint a közeljövőben érvényes kamatlábak.	contradictory
