premise	hypo	label
Käsitteellisesti kermanpoistolla on kaksi perusmittaria - tuote ja maantiede.	Tuote ja maantiede ovat sitä, mikä tekee kermanväristyksestä työtä.	neutral
tiedät kauden aikana ja luulen, että sinä olet menettänyt ne seuraavalle tasolle, jos jos he päättävät muistaa vanhemman joukkueen, Braves päättää soittaa muistaa miehen kolmesta A sitten kaksinkertainen kaveri nousee korvaa hänet ja yksi kaveri nousee hänen tilalleen	Menetät asiat seuraavaan tasoon, jos ihmiset muistavat.	entailment
Yksi numeroistamme suorittaa ohjeet tarkasti.	Tiimini jäsen suorittaa tilauksesi erittäin tarkasti.	entailment
Mistä tiedät ? Kaikki tämä on heidän tietonsa uudelleen.	Nämä tiedot kuuluvat heille.	entailment
kyllä, kerron teille, että jos et mene hintaan joihinkin tenniskenkiin, voin nähdä, miksi nyt tiedät, että he nousevat sadan dollarin alueelle	Tenniskengillä on erilaisia hintoja.	neutral
minun Walkman rikkoi niin olen järkyttynyt nyt minun on vain kääntää stereo todellinen ääneen	Olen järkyttynyt siitä, että minun Walkman rikkoi ja nyt minun täytyy kääntää stereo todella äänekkäästi.	entailment
Mutta muutama kristillinen mosaiikki selviytyy apseen yläpuolella on neitsyt Marian kanssa lapsen Jeesuksen kanssa, arkkienkeli Gabriel oikealla puolella (hänen kumppaninsa Michael, vasemmalla puolella, on kadonnut muutaman höyhen siipistä).	Muslimit tuhosivat suurimman osan kristillisistä mosaiikkeista.	neutral
(Lue Slate: n ottamasta vastaan Jacksonin havaintoja.)	Slateilla oli mielipide Jacksonin havainnoista.	entailment
Homot ja lesbot.	Heteroseksuaalit.	contradictory
Rue des Francs-Bourgeoisin päätteeksi monet pitävät kaupungin kauneinta asuintilaa, Place des Vosgesiä, jossa on kivi- ja punatiilinen julkisivu.	Place des Vosges on rakennettu kokonaan harmaasta marmorista.	contradictory
Olen puhjennut joukon hyttiovia ja kaatunut maahan	Puhuin ovien läpi ja kaatui alas.	entailment
Hauskaa aikuisille ja lapsille.	Hauskaa vain lapsille.	contradictory
Ei ole, että ne kysymykset, joita he kysyivät, eivät olleet mielenkiintoisia tai laillisia (vaikka useimmat eivät kuulu jo kysyttyjen ja vastattujen ryhmään).	Kaikki kysymykset olivat mielenkiintoisia aiheen perusteella kuullun kohderyhmän mukaan.	neutral
Thebes piti vallan 12-luvun dynastiaan saakka, kun sen ensimmäinen kuningas, Amenemhet Iwho, hallitsi vuosina 1980–1995. perusti pääoman Memphiksen lähelle.	Pääkaupunki Memphisin lähellä kesti vain puoli vuosisataa ennen sen asukkaiden luopumista seuraavasta pääkaupungista.	neutral
En halua olla huolissani huolestasi, mutta jos olisin sinä, olisin ehkä enemmän huolissaan tämän $ 1 lähiajan vaikutuksista.	Olen huolissani asioista enemmän kuin lähiajan kurssivaikutukset.	contradictory
Tietojen synteesin ongelmat.	Tietojenkäsittelyn ongelmat.	entailment
hyvin näet televisiossa myös	Voit nähdä sen myös televisiossa.	entailment
Vrenna ja minä molemmat taistelimme häntä ja hän otti melkein meidät.	Kumpikaan Vrenna ei ole taistellut häntä.	contradictory
Tämä analyysi yhdisti näiden kahden tutkimuksen arviot C-R-toiminnon kehittämiseksi, joka yhdistää PM: n krooniseen keuhkoputkentulehdukseen.	Analyysi osoittaa, että PM: n ja keuhkoputkentulehduksen välillä ei ole yhteyttä.	contradictory
Hän kääntyi ja hymyili Vrennalle.	Hän hymyili Vrennalle, joka käveli hitaasti hänen takanaan äitinsä kanssa.	neutral
Pyrimme tunnistamaan käytännöt, joita virastot toteuttivat yleisesti viimeisten 5 vuoden aikana.	Haluamme tunnistaa virastojen yleisesti käyttämät käytännöt viimeisten 5 vuoden aikana	entailment
Muut miehet sekoittivat.	Muut miehet sekoitettiin.	entailment
Valtioiden on osoitettava kohtuullista edistystä valtion täytäntöönpanosuunnitelmissaan kohti kongressin valtuuttamaa tavoitetta palata luonnonolosuhteisiin kansallispuistoissa ja erämaa-alueilla.	Se ei ole välttämätöntä parannusten tekemiseksi.	contradictory
hyvin se on ollut erittäin mielenkiintoista	Se on ollut erittäin kiehtova.	entailment
Hän alkoi hitaasti takaisin kerrossänkyyn.	Hän palasi hitaasti kerrossänkyyn.	entailment
ja se on melko vähän mielestäni kuusi jotain on valtio, ja loput piirakka menee muualle, mutta olemme tietyssä osassa valtiota, joka on melko hyvin pois, joten se on niin. s kuin saamme paljon, että paikallinen verotus menee takaisin	En tiedä tarkalleen, missä paikalliset verot menevät.	neutral
Ne on valmistettu salaperäisestä reseptistä, jonka Mallorcan esivanhemmat ovat luovuttaneet nykypäivän kyläläisille, jotka tulivat tänne 1700-luvun alussa osana virallista uudelleenjärjestelyohjelmaa.	Mallorcan esivanhemmilta ohitettu resepti on kaikkien tiedossa.	contradictory
Joo hyvin olet opiskelija oikeassa	No olet mekaniikan opiskelija?	neutral
Olen todella kuullut jotakin, että heidän pitäisi olla aloittamassa valtavaa kampanjaa New Yorkissa noin lapsen hyväksikäytöstä ja lasten hyväksikäytön lopettamisesta, ja sen pitäisi olla kuin se, jonka pitäisi alkaa olla suurta valtakunnallista kampanjaa ja tiedät joten toivottavasti se lähtee ja todella tekee jotakin, mitä en tiedä siellä	On valitettavaa, että kukaan ei järjestä lasten hyväksikäyttöä koskevaa kampanjaa.	contradictory
Postipalvelun oli määrä vähentää toimitustaajuutta.	Postipalvelut voisivat toimittaa harvemmin.	entailment
Ja toisessa talouden muutoksessa havaittiin, että lampaanviljelylaitoksissa voitiin kasvattaa kustannustehokkaammin osittain karjankasvatusta, koska siellä oli runsaampaa ja ravitsevampaa laiduntalaa, minkä seurauksena Lakeland-maatilat tulivat vähemmän kannattaviksi.	Toinen talouden muutos todettiin ravitsevammaksi.	entailment
Sääntö sisältää tietojen keräämistä koskevia vaatimuksia, joiden avulla EPA voi määrittää, että pesuaineiden lisäaineita, jotka ovat tehokkaita talletusten hallitsemisessa, käytetään ja että päästöjenhallintatavoitteet saavutetaan.	Säännöllä on tietojen keräämistä koskevia vaatimuksia, jotka auttavat EPA: ta toteuttamaan päästöjenhallintatavoitteensa.	entailment
