premise	hypo	label
Conceptually cream skimming har to grunnleggende dimensjoner - produkt og geografi.	Produkt og geografi er det som gjør krem skimming arbeid.	neutral
du vet i løpet av sesongen og jeg antar at på ditt nivå uh du mister dem til neste nivå hvis hvis de bestemmer seg for å huske foreldremedlemmen, bestemmer Braves å ringe for å hente en fyr fra triple A så en dobbel En fyr går opp til erstatt ham og en singel En fyr går opp for å erstatte ham	Du mister tingene til følgende nivå hvis folket husker.	entailment
Et av tallene våre vil utføre instruksjonene dine øyeblikkelig.	Et medlem av teamet mitt vil utføre dine bestillinger med enorm presisjon.	entailment
Hvordan vet du ? Alt dette er deres informasjon igjen.	Denne informasjonen tilhører dem.	entailment
ja, jeg forteller deg hva selv om du går pris noen av de tennis skoene jeg kan se hvorfor nå vet du at de står opp i hundre dollar	Tennisskoene har en rekke priser.	neutral
min walkman brøt så jeg er lei meg nå, jeg må bare slå stereo opp ekte høyt	Jeg er lei meg for at min walkman brøt og nå må jeg slå stereo opp veldig høyt.	entailment
Men noen kristne mosaikker overlever over apseen er jomfruen med spedbarnet Jesus, med erkeengel Gabriel til høyre (hans følgesvenn Michael til venstre har forsvunnet lagre for noen fjær fra vingene hans).	De fleste kristne mosaikkene ble ødelagt av muslimer.	neutral
(Les for Slate 's ta på Jackson' s funn.)	Skifer hadde en mening om Jacksons funn.	entailment
Homofile og lesbiske.	Heterosexuals.	contradictory
På slutten av Rue des Francs-Bourgeois er det mange som er byens mest kjekke boligkvarter, Place des Vosges, med sine stein og røde mursteinfacader.	Place des Vosges er bygget helt av grå marmor.	contradictory
Jeg briste gjennom et sett med hyttedører, og falt til bakken-	Jeg briste gjennom dørene og falt ned.	entailment
Morsomt for voksne og barn.	Morsomt for bare barn.	contradictory
Det er ikke at de spurte spørsmålene de ikke var interessante eller legitime (selv om de fleste faller under kategorien allerede spurt og besvart).	Alle spørsmålene var interessante i henhold til en fokusgruppe som ble konsultert om emnet.	neutral
Thebes holdt på makten til det 12. Dynasty da sin første konge, Amenemhet Iwho, regjerte mellom 1980 1951 b.c. etablerte en hovedstad nær Memphis.	Hovedstaden i nærheten av Memphis varet bare et halvt århundre før beboerne forlot det for neste hovedstad.	neutral
Jeg mener ikke å være glad i dine bekymringer, men hvis jeg var deg, kan jeg være mer opptatt av de langsiktige rateimplikasjonene på denne $ 1.	Jeg er bekymret mer om dine problemer enn de langsiktige renteimplikasjonene.	contradictory
Problemer i datasyntese.	Problemer med datasyntese.	entailment
Vel, du ser det på tv også	Du kan se det på tv, så vel.	entailment
Vrenna og jeg kjempet begge ham og han tok oss nesten.	Verken Vrenna eller meg selv har aldri kjempet ham.	contradictory
Denne analysen samler estimater fra disse to studiene for å utvikle en C-R-funksjon som knytter PM til kronisk bronkitt.	Analysen viser at det ikke er noen sammenheng mellom PM og bronkitt.	contradictory
Han snudde og smilte på Vrenna.	Han smilte på Vrenna som gikk sakte bak seg med sin mor.	neutral
Vi søkte å identifisere praksis som ble implementert av byråene i løpet av de siste 5 årene.	Vi ønsker å identifisere praksis som brukes av byråer de siste 5 årene	entailment
De andre mennene blandet seg.	De andre mennene ble blandet rundt.	entailment
Stater må vise fornuftige fremskritt i deres gjennomføringsplaner for staten mot det kongressmessige mandatet for å komme tilbake til naturbetingelser i nasjonalparker og villmarksområder.	Det er ikke nødvendig for at det skal være noen forbedringer.	contradictory
vel det har vært veldig interessant	Det har vært veldig spennende.	entailment
Han begynte sakte tilbake til bunkhouse.	Han kom sakte tilbake til bunkhuset.	entailment
og det er det ganske mye jeg tror at seks er staten og og resten av kaken går andre steder, men vi er i en bestemt del av staten som er ganske bra, så det er det s som vi får mye av det tilbake så langt som lokal beskatning går	Jeg vet ikke nøyaktig hvor de lokale skattene går.	neutral
De er laget av en hemmelig oppskrift overlevert til dagens landsbyboere av deres mallorcanske forfedre, som kom hit i begynnelsen av det 17. århundre som en del av en offisiell gjenoppbyggingsordning.	Oppskriften gått ned fra mallorcanske forfedre er kjent for alle.	contradictory
ja, du er en student rett	Vel, du er en mekanikkstudent riktig?	neutral
det er egentlig jeg hørte noe som de skulle starte en stor kampanje i New York om barnemishandling og stoppe barnemishandling, og det skal være som det begynner å være som en stor landsdekkende kampanje, og du vet så forhåpentligvis det vil ta av og virkelig gjøre noe jeg ikke vet det er bare	Det er uheldig at ingen organiserer en kampanje for barnekriminalitet.	contradictory
Postal Service skulle redusere leveringsfrekvensen.	Posttjenesten kan levere sjeldnere.	entailment
Og i et annet skifte i økonomien ble det funnet at lam kunne heves mer kostnadseffektivt på lavlandet gårder delvis på grunn av det rikere, mer næringsrike gresningsarealet der, og dermed ble Lakeland gårdene mindre lønnsomme.	Et annet skifte i økonomien ble funnet å være mer næringsrik.	entailment
Regelen inneholder informasjonssammenhengskrav som vil tillate EPA å fastslå at vaskemiddeltilsetninger som er effektive for å kontrollere innskudd, blir brukt, og at utslippskontrollmål realiseres.	Regelen har datainnsamlingskrav som hjelper EPA til å realisere sine utslippskontrollmål.	entailment
Nesten hver bakke har til nordøst er det et maurisk fort; ikke færre enn fire ødelagte festninger holder havneinngangen; og to andre, fortsatt i orden, beskytter Atalaya og Galeras slottene sjøen foran arsenalet, av vital betydning for Spanias militære.	Det er ingen slott Atalaya og Galeras.	contradictory
Var de der inne?	Var de ment å være der inne?	neutral
Felicia 's Journey finner sted bak øynene til den sentrale en ung irsk jente, Felicia, som krysser havet til England i en håpløs søken for å finne faren til hennes ufødte barn; og den fede middelaldrende cateringforvalteren Hiditch, som tar faderlig interesse for lasset når det blir klart at hennes unge mann har caddishly gitt henne glideren.	Kvinnen brydde seg ikke om hvor mannen var så lenge den var langt.	contradictory
I krypten er interrestert resterne av Voltaire og Rousseau, Hugo og Zola, myrdet sosialistisk leder Jean Jaurys, og Louis Braille, oppfinneren av alfabetet for blinde.	Resterne av Voltaire og Rousseau, Hugo og Zola, myrdet sosialistiske leder Jean Jaurys, og Louis Braille er alle interred i krypten.	entailment
Det er et par som heter Oh, jeg skal glemme navnet hans nå, uh Dirkson	Jeg kan ikke huske navnet deres	entailment
Poirot, ropte jeg med lindring og grep ham med begge hender, jeg trakk ham inn i rommet.	Poirot var nå tilbake, og jeg var lei meg for at han ville ta over det jeg nå vurderte min egen undersøkelse.	contradictory
Ordet aswan betyr egentlig handel eller marked i det gamle egyptiske, noe som betyr at den er mest fremtredende aktivitet.	Aswans betydning har ikke endret seg over tid.	contradictory
vel hva markedet kan bære og	Markedet kan ikke bære noe av det.	contradictory
Og for å vise hvor raskt Japans nye herskere fanget på, ble to straffende ekspedisjoner lansert mot Korea og Kina i den store måten på 19th century gunboat diplomacy.	Japans nye linjaler fanget raskt.	entailment
